# spot,7709.9600,ts,2026-08-07 01:28:53
strike,dte,cp,oi,gamma,delta,iv,bid,ask
200.00,14,C,2960,0.000000,0.9998,7.0863,7491.40,7515.40
200.00,14,P,10649,0.000000,0.0000,4.9570,0.00,0.05
400.00,14,C,283,0.000000,0.9998,5.6325,7291.80,7315.80
400.00,14,P,4428,0.000000,0.0000,3.9753,0.00,0.05
600.00,14,C,251,0.000000,0.9998,4.8075,7092.10,7116.10
600.00,14,P,960,0.000000,0.0000,3.4160,0.00,0.05
800.00,14,C,255,0.000000,0.9998,4.2393,6892.40,6916.40
800.00,14,P,1389,0.000000,0.0000,3.0250,0.00,0.05
1000.00,14,C,94,0.000000,0.9998,3.8070,6692.70,6716.70
1000.00,14,P,1242,0.000000,0.0000,2.7247,0.00,0.05
1200.00,14,C,19,0.000000,0.9998,3.4586,6493.00,6517.00
1200.00,14,P,1927,0.000000,0.0000,2.4810,0.00,0.05
1400.00,14,C,71,0.000000,0.9998,3.1672,6293.30,6317.30
1400.00,14,P,3688,0.000000,0.0000,2.2762,0.00,0.05
1600.00,14,C,5,0.000000,0.9998,2.9168,6093.60,6117.60
1600.00,14,P,6462,0.000000,0.0000,2.1880,0.00,0.10
1800.00,14,C,3,0.000000,0.9998,2.6975,5893.90,5917.90
1800.00,14,P,2026,0.000000,0.0000,2.0261,0.00,0.10
2000.00,14,C,14,0.000000,0.9998,2.5153,5694.30,5718.30
2000.00,14,P,964,0.000000,0.0000,1.8818,0.00,0.10
2200.00,14,C,2952,0.000000,0.9998,2.3388,5494.60,5518.60
2200.00,14,P,3796,0.000000,0.0000,1.7514,0.00,0.10
2400.00,14,P,1999,0.000000,0.0000,1.6326,0.00,0.10
2500.00,14,P,11078,0.000000,0.0000,1.5770,0.00,0.10
2600.00,14,C,55,0.000000,0.9998,2.0312,5095.20,5119.20
2600.00,14,P,1074,0.000000,0.0000,1.5235,0.00,0.10
2700.00,14,C,2,0.000000,0.9998,1.9567,4995.30,5019.30
2700.00,14,P,1008,0.000000,0.0000,1.4721,0.00,0.10
2800.00,14,C,3,0.000000,0.9998,1.8954,4895.50,4919.50
2800.00,14,P,893,0.000000,0.0000,1.4226,0.00,0.10
2900.00,14,C,30,0.000000,0.9998,1.8361,4795.70,4819.70
2900.00,14,P,606,0.000000,0.0000,1.3748,0.00,0.10
3000.00,14,C,57,0.000000,0.9998,1.7692,4695.80,4719.80
3000.00,14,P,4549,0.000000,0.0000,1.3286,0.00,0.10
3100.00,14,P,1427,0.000000,0.0000,1.2840,0.00,0.10
3200.00,14,C,27,0.000000,0.9998,1.6513,4496.10,4520.10
3200.00,14,P,4423,0.000000,0.0000,1.2407,0.00,0.10
3300.00,14,P,6035,0.000000,0.0000,1.1988,0.00,0.10
3400.00,14,P,6845,0.000000,0.0000,1.1582,0.00,0.10
3500.00,14,P,5788,0.000000,0.0000,1.1187,0.00,0.10
3600.00,14,C,2,0.000000,0.9998,1.4450,4096.80,4120.80
3600.00,14,P,4032,0.000000,0.0000,1.0803,0.00,0.10
3700.00,14,P,3139,0.000000,0.0000,1.0430,0.00,0.10
3750.00,14,P,1613,0.000000,-0.0001,1.0247,0.00,0.10
3800.00,14,C,1,0.000000,0.9998,1.3462,3897.10,3921.10
3800.00,14,P,3270,0.000000,-0.0001,1.0066,0.00,0.10
3850.00,14,P,2269,0.000000,-0.0001,0.9888,0.00,0.10
3900.00,14,P,1673,0.000000,-0.0001,0.9712,0.00,0.10
3950.00,14,P,2646,0.000000,-0.0001,0.9538,0.00,0.10
4000.00,14,C,48,0.000000,0.9997,1.2525,3697.40,3721.40
4000.00,14,P,4490,0.000000,-0.0001,0.9366,0.00,0.10
4050.00,14,P,1722,0.000000,-0.0001,0.9450,0.00,0.15
4100.00,14,P,3188,0.000000,-0.0001,0.9277,0.00,0.15
4150.00,14,P,3086,0.000000,-0.0001,0.9108,0.00,0.15
4200.00,14,C,1,0.000000,0.9997,1.1634,3497.70,3521.70
4200.00,14,P,2993,0.000000,-0.0001,0.8940,0.00,0.15
4250.00,14,P,3525,0.000000,-0.0001,0.8774,0.00,0.10
4300.00,14,C,1,0.000000,0.9997,1.1239,3397.90,3421.90
4300.00,14,P,3130,0.000000,-0.0001,0.8610,0.00,0.10
4350.00,14,C,2,0.000000,0.9997,1.1044,3348.00,3372.00
4350.00,14,P,1176,0.000000,-0.0001,0.8448,0.00,0.15
4375.00,14,P,1246,0.000000,-0.0001,0.8367,0.00,0.15
4400.00,14,P,4537,0.000000,-0.0002,0.8287,0.00,0.15
4425.00,14,P,1774,0.000000,-0.0002,0.8208,0.00,0.15
4450.00,14,P,2547,0.000000,-0.0002,0.8129,0.00,0.15
4475.00,14,P,1125,0.000000,-0.0002,0.8050,0.00,0.15
4500.00,14,C,5,0.000000,0.9996,1.0406,3198.20,3222.20
4500.00,14,P,3144,0.000000,-0.0002,0.7972,0.00,0.15
4525.00,14,C,1,0.000000,0.9996,1.0281,3173.20,3197.20
4525.00,14,P,832,0.000000,-0.0002,0.7894,0.00,0.15
4550.00,14,C,1,0.000000,0.9996,1.0220,3148.30,3172.30
4550.00,14,P,1010,0.000000,-0.0002,0.7816,0.00,0.15
4575.00,14,P,771,0.000000,-0.0002,0.7740,0.00,0.15
4600.00,14,C,21,0.000000,0.9996,1.0035,3098.40,3122.40
4600.00,14,P,3676,0.000000,-0.0002,0.7663,0.00,0.15
4625.00,14,C,20,0.000000,0.9996,0.9912,3073.40,3097.40
4625.00,14,P,896,0.000000,-0.0002,0.7587,0.00,0.15
4650.00,14,C,20,0.000000,0.9996,0.9851,3048.50,3072.50
4650.00,14,P,2181,0.000000,-0.0002,0.7511,0.00,0.15
4675.00,14,C,20,0.000000,0.9996,0.9730,3023.50,3047.50
4675.00,14,P,1018,0.000000,-0.0002,0.7435,0.00,0.15
4700.00,14,P,1947,0.000000,-0.0002,0.7360,0.00,0.15
4725.00,14,P,1312,0.000000,-0.0003,0.7285,0.00,0.15
4750.00,14,P,2263,0.000000,-0.0003,0.7211,0.00,0.15
4775.00,14,P,1639,0.000000,-0.0003,0.7137,0.00,0.15
4800.00,14,C,4,0.000000,0.9995,0.9253,2898.70,2922.70
4800.00,14,P,3632,0.000000,-0.0003,0.7208,0.00,0.20
4825.00,14,P,709,0.000000,-0.0003,0.7134,0.00,0.20
4850.00,14,C,2,0.000000,0.9995,0.9077,2848.80,2872.80
4850.00,14,P,1270,0.000000,-0.0003,0.7060,0.00,0.20
4875.00,14,C,10,0.000000,0.9995,0.8961,2823.80,2847.80
4875.00,14,P,1968,0.000000,-0.0003,0.6986,0.00,0.15
4900.00,14,C,117,0.000000,0.9995,0.8902,2798.90,2822.90
4900.00,14,P,2442,0.000000,-0.0003,0.6912,0.00,0.15
4925.00,14,P,1116,0.000000,-0.0004,0.6839,0.00,0.20
4950.00,14,C,1,0.000000,0.9994,0.8673,2748.90,2772.90
4950.00,14,P,1216,0.000000,-0.0004,0.6766,0.00,0.20
4975.00,14,P,1264,0.000000,-0.0004,0.6694,0.05,0.20
5000.00,14,C,24203,0.000000,0.9994,0.8502,2699.00,2723.00
5000.00,14,P,30958,0.000000,-0.0004,0.6621,0.00,0.20
5025.00,14,P,604,0.000000,-0.0004,0.6550,0.00,0.20
5050.00,14,P,1432,0.000000,-0.0004,0.6478,0.00,0.20
5075.00,14,C,4,0.000000,0.9994,0.8274,2624.20,2648.20
5075.00,14,P,1005,0.000000,-0.0004,0.6407,0.00,0.20
5100.00,14,C,253,0.000000,0.9994,0.8164,2599.20,2623.20
5100.00,14,P,2522,0.000000,-0.0004,0.6336,0.00,0.20
5125.00,14,P,1058,0.000000,-0.0005,0.6266,0.00,0.20
5150.00,14,C,4,0.000000,0.9993,0.7996,2549.30,2573.30
5150.00,14,P,2326,0.000000,-0.0005,0.6298,0.00,0.25
5175.00,14,P,2547,0.000000,-0.0005,0.6314,0.05,0.25
5200.00,14,C,115,0.000000,0.9993,0.7830,2499.40,2523.40
5200.00,14,P,9730,0.000000,-0.0005,0.6243,0.05,0.25
5225.00,14,P,694,0.000000,-0.0005,0.6172,0.05,0.25
