# spot,7500.5801,ts,2026-06-19 21:36:36
strike,dte,cp,oi,gamma,delta,iv,bid,ask
200.00,28,C,10440,0.000000,1.0000,4.4239,7289.00,7308.80
200.00,28,P,9146,0.000000,0.0000,3.5532,0.00,0.05
400.00,28,C,21,0.000000,1.0000,0.0000,7086.50,7109.40
400.00,28,P,7118,0.000000,0.0000,2.8451,0.00,0.05
600.00,28,C,5,0.000000,1.0000,0.0000,6887.20,6910.10
600.00,28,P,5209,0.000000,0.0000,2.4417,0.00,0.05
800.00,28,C,2,0.000000,1.0000,0.0000,6687.40,6710.20
800.00,28,P,3702,0.000000,0.0000,2.1596,0.00,0.05
1000.00,28,C,1769,0.000000,1.0000,0.0000,6488.50,6510.90
1000.00,28,P,4361,0.000000,-0.0001,1.9430,0.00,0.05
1200.00,28,C,9003,0.000000,1.0000,2.3355,6293.30,6311.90
1200.00,28,P,10180,0.000000,-0.0001,1.7672,0.00,0.05
1400.00,28,C,3,0.000000,1.0000,0.0000,6089.60,6112.50
1400.00,28,P,737,0.000000,-0.0001,1.6194,0.00,0.05
1600.00,28,C,1,0.000000,1.0000,0.0000,5890.60,5913.50
1600.00,28,P,2686,0.000000,-0.0001,1.5550,0.00,0.10
1800.00,28,P,1276,0.000000,-0.0001,1.4382,0.00,0.10
2000.00,28,C,1519,0.000000,1.0000,0.0000,5491.90,5514.30
2000.00,28,P,11518,0.000000,-0.0001,1.3340,0.00,0.10
2200.00,28,C,1431,0.000000,1.0000,0.0000,5292.50,5315.50
2200.00,28,P,4124,0.000000,-0.0001,1.2399,0.00,0.10
2400.00,28,C,1,0.000000,1.0000,0.0000,5092.90,5115.90
2400.00,28,P,1236,0.000000,-0.0002,1.1542,0.00,0.10
2500.00,28,C,1,0.000000,1.0000,0.0000,4993.10,5016.60
2500.00,28,P,16483,0.000000,-0.0002,1.1140,0.00,0.10
2600.00,28,P,756,0.000000,-0.0002,1.0754,0.00,0.10
2700.00,28,P,1111,0.000000,-0.0002,1.0382,0.00,0.10
2800.00,28,P,1394,0.000000,-0.0002,1.0025,0.00,0.10
2900.00,28,C,30,0.000000,1.0000,0.0000,4595.10,4618.00
2900.00,28,P,2183,0.000000,-0.0002,0.9937,0.00,0.15
3000.00,28,C,225,0.000000,1.0000,0.0000,4495.40,4518.30
3000.00,28,P,7566,0.000000,-0.0002,0.9595,0.00,0.15
3100.00,28,P,1949,0.000000,-0.0003,0.9265,0.00,0.15
3200.00,28,C,22,0.000000,1.0000,0.0000,4296.10,4319.00
3200.00,28,P,2718,0.000000,-0.0003,0.8945,0.00,0.15
3300.00,28,P,8026,0.000000,-0.0003,0.8805,0.00,0.20
3400.00,28,C,13,0.000000,1.0000,0.0000,4096.40,4119.30
3400.00,28,P,4758,0.000000,-0.0004,0.8498,0.00,0.20
3500.00,28,P,7079,0.000000,-0.0004,0.8201,0.00,0.20
3600.00,28,P,5189,0.000000,-0.0004,0.8144,0.05,0.25
3650.00,28,P,2027,0.000000,-0.0004,0.7998,0.05,0.25
3700.00,28,C,1,0.000000,1.0000,0.0000,3797.30,3820.20
3700.00,28,P,2273,0.000000,-0.0005,0.7854,0.05,0.25
3750.00,28,P,1800,0.000000,-0.0005,0.7713,0.05,0.25
3800.00,28,P,3875,0.000000,-0.0005,0.7738,0.10,0.30
3850.00,28,P,1590,0.000000,-0.0005,0.7597,0.10,0.30
3900.00,28,P,2381,0.000000,-0.0006,0.7458,0.10,0.30
3950.00,28,P,1866,0.000000,-0.0006,0.7387,0.10,0.35
4000.00,28,C,139,0.000000,1.0000,0.0000,3499.00,3521.90
4000.00,28,P,7569,0.000000,-0.0006,0.7310,0.15,0.35
4050.00,28,P,1591,0.000000,-0.0007,0.7174,0.15,0.35
4100.00,28,P,2300,0.000000,-0.0007,0.7094,0.15,0.40
4150.00,28,P,3346,0.000000,-0.0008,0.7009,0.20,0.40
4200.00,28,C,2,0.000000,0.9998,0.0000,3299.20,3322.60
4200.00,28,P,4335,0.000000,-0.0008,0.7004,0.30,0.45
4225.00,28,P,967,0.000000,-0.0008,0.6854,0.20,0.45
4250.00,28,P,1927,0.000000,-0.0009,0.6830,0.25,0.45
4275.00,28,P,725,0.000000,-0.0009,0.6764,0.25,0.45
4300.00,28,P,1103,0.000000,-0.0009,0.6737,0.25,0.50
4325.00,28,P,696,0.000000,-0.0010,0.6672,0.25,0.50
4350.00,28,P,927,0.000000,-0.0010,0.6643,0.30,0.50
4375.00,28,P,1128,0.000000,-0.0010,0.6577,0.30,0.50
4400.00,28,C,1,0.000000,0.9995,0.0000,3100.60,3123.40
4400.00,28,P,3597,0.000000,-0.0011,0.6547,0.30,0.55
4425.00,28,P,735,0.000000,-0.0011,0.6482,0.30,0.55
4450.00,28,P,747,0.000000,-0.0011,0.6449,0.35,0.55
4475.00,28,P,669,0.000000,-0.0012,0.6415,0.35,0.60
4500.00,28,C,18,0.000000,0.9994,0.6029,3000.40,3023.40
4500.00,28,P,5126,0.000000,-0.0012,0.6351,0.35,0.60
4525.00,28,C,1,0.000000,0.9993,0.0000,2975.80,2998.80
4525.00,28,P,954,0.000000,-0.0013,0.6315,0.40,0.60
4550.00,28,C,2,0.000000,0.9993,0.5472,2950.60,2973.90
4550.00,28,P,2539,0.000000,-0.0013,0.6251,0.40,0.60
4575.00,28,P,654,0.000000,-0.0014,0.6215,0.40,0.65
4600.00,28,C,2,0.000000,0.9992,0.5737,2900.80,2923.70
4600.00,28,P,5770,0.000000,-0.0014,0.6177,0.45,0.65
4625.00,28,P,1750,0.000000,-0.0015,0.6138,0.45,0.70
4650.00,28,P,826,0.000000,-0.0015,0.6075,0.45,0.70
4675.00,28,C,1,0.000000,0.9990,0.5658,2826.10,2849.00
4675.00,28,P,544,0.000000,-0.0016,0.6058,0.50,0.75
4700.00,28,C,1,0.000000,0.9989,0.5628,2801.20,2824.10
4700.00,28,P,1441,0.000000,-0.0017,0.5994,0.50,0.75
4725.00,28,P,646,0.000000,-0.0017,0.5953,0.55,0.75
4750.00,28,P,2970,0.000000,-0.0018,0.5911,0.55,0.80
4775.00,28,P,1880,0.000000,-0.0019,0.5848,0.55,0.80
4800.00,28,C,2,0.000000,0.9987,0.5352,2702.20,2724.90
4800.00,28,P,3533,0.000000,-0.0019,0.5825,0.60,0.85
4825.00,28,C,1,0.000000,0.9986,0.5659,2676.90,2699.80
4825.00,28,P,746,0.000000,-0.0020,0.5763,0.60,0.85
4850.00,28,C,1,0.000000,0.9985,0.5614,2651.90,2674.90
4850.00,28,P,3695,0.000000,-0.0021,0.5737,0.65,0.90
4875.00,28,P,3433,0.000000,-0.0022,0.5675,0.65,0.90
4900.00,28,C,6,0.000000,0.9983,0.5438,2602.10,2625.00
4900.00,28,P,3826,0.000000,-0.0023,0.5631,0.70,0.90
4925.00,28,P,1354,0.000000,-0.0024,0.5585,0.70,0.95
4950.00,28,C,3,0.000000,0.9982,0.5210,2552.30,2575.30
4950.00,28,P,1025,0.000000,-0.0024,0.5556,0.75,1.00
4975.00,28,C,1,0.000000,0.9980,0.5306,2528.00,2550.70
4975.00,28,P,4535,0.000000,-0.0025,0.5509,0.75,1.05
5000.00,28,C,25359,0.000000,0.9980,0.5815,2510.40,2520.40
5000.00,28,P,34323,0.000000,-0.0026,0.5463,0.80,1.05
5025.00,28,P,1370,0.000000,-0.0028,0.5430,0.85,1.10
5050.00,28,C,4,0.000000,0.9977,0.5170,2452.80,2476.00
5050.00,28,P,1552,0.000000,-0.0029,0.5368,0.85,1.10
5075.00,28,C,1,0.000000,0.9976,0.5193,2427.90,2450.80
5075.00,28,P,1335,0.000000,-0.0030,0.5334,0.90,1.15
5100.00,28,C,9,0.000000,0.9975,0.4874,2403.50,2426.30
5100.00,28,P,2888,0.000000,-0.0031,0.5286,0.90,1.20
5125.00,28,P,577,0.000000,-0.0032,0.5238,0.95,1.20
5150.00,28,C,3,0.000000,0.9972,0.5158,2353.30,2376.30
5150.00,28,P,1942,0.000000,-0.0033,0.5201,1.00,1.25
5175.00,28,P,563,0.000000,-0.0035,0.5152,1.00,1.30
5200.00,28,C,3,0.000000,0.9970,0.5006,2303.50,2326.40
5200.00,28,P,5243,0.000000,-0.0036,0.5103,1.05,1.30
5225.00,28,P,663,0.000000,-0.0038,0.5064,1.10,1.35
5250.00,28,C,27,0.000000,0.9967,0.4998,2253.80,2276.80
5250.00,28,P,1582,0.000000,-0.0039,0.5025,1.15,1.40
5275.00,28,C,3,0.000000,0.9965,0.4902,2229.40,2251.80
5275.00,28,P,1104,0.000000,-0.0041,0.4985,1.20,1.45
5300.00,28,C,38,0.000000,0.9964,0.4780,2204.60,2227.20
5300.00,28,P,3702,0.000000,-0.0042,0.4934,1.20,1.50
5325.00,28,P,2808,0.000000,-0.0044,0.4893,1.25,1.55
5350.00,28,C,50,0.000000,0.9960,0.4726,2154.90,2177.50
5350.00,28,P,1689,0.000000,-0.0046,0.4842,1.30,1.55
5375.00,28,C,1,0.000000,0.9959,0.4737,2129.40,2152.30
5375.00,28,P,1799,0.000000,-0.0047,0.4800,1.35,1.60
5400.00,28,C,17,0.000000,0.9957,0.4684,2105.10,2127.70
5400.00,28,P,5275,0.000000,-0.0049,0.4758,1.40,1.65
5425.00,28,P,2291,0.000000,-0.0051,0.4714,1.45,1.70
5450.00,28,C,494,0.000000,0.9953,0.4616,2054.80,2077.70
5450.00,28,P,2977,0.000000,-0.0053,0.4671,1.50,1.75
5475.00,28,C,2,0.000000,0.9951,0.4527,2030.50,2053.10
5475.00,28,P,854,0.000000,-0.0055,0.4626,1.55,1.80
5480.00,28,C,2,0.000000,0.9950,0.4527,2025.50,2048.10
5480.00,28,P,150,0.000000,-0.0056,0.4614,1.55,1.80
5490.00,28,C,2,0.000000,0.9949,0.4544,2015.60,2038.20
5490.00,28,P,958,0.000000,-0.0056,0.4606,1.60,1.85
5500.00,28,C,55,0.000000,0.9949,0.4526,2005.70,2028.20
5500.00,28,P,12020,0.000000,-0.0057,0.4582,1.60,1.85
5510.00,28,P,396,0.000000,-0.0058,0.4565,1.60,1.90
5520.00,28,P,232,0.000000,-0.0059,0.4541,1.60,1.90
5525.00,28,C,5,0.000000,0.9946,0.4440,1980.80,2003.40
5525.00,28,P,562,0.000000,-0.0060,0.4537,1.65,1.90
5530.00,28,P,319,0.000000,-0.0060,0.4532,1.65,1.95
5540.00,28,P,535,0.000000,-0.0061,0.4508,1.65,1.95
5550.00,28,C,1,0.000000,0.9944,0.4494,1955.40,1978.40
5550.00,28,P,2911,0.000000,-0.0062,0.4491,1.70,1.95
5560.00,28,P,869,0.000000,-0.0063,0.4474,1.70,2.00
5570.00,28,P,1001,0.000000,-0.0064,0.4457,1.75,2.00
5575.00,28,C,4,0.000000,0.9942,0.4411,1930.50,1953.40
