# spot,7457.6899,ts,2026-07-17 22:43:46
strike,dte,cp,oi,gamma,delta,iv,bid,ask
200.00,0,C,14756,0.000000,0.0000,0.0000,0.00,0.00
200.00,0,P,13331,0.000000,0.0000,0.0000,0.00,0.00
400.00,0,C,22,0.000000,0.0000,0.0000,0.00,0.00
400.00,0,P,7118,0.000000,0.0000,0.0000,0.00,0.00
600.00,0,C,4,0.000000,0.0000,0.0000,0.00,0.00
600.00,0,P,5209,0.000000,0.0000,0.0000,0.00,0.00
800.00,0,C,3,0.000000,0.0000,0.0000,0.00,0.00
800.00,0,P,3702,0.000000,0.0000,0.0000,0.00,0.00
1000.00,0,C,272,0.000000,0.0000,0.0000,0.00,0.00
1000.00,0,P,2861,0.000000,0.0000,0.0000,0.00,0.00
1200.00,0,C,13302,0.000000,0.0000,0.0000,0.00,0.00
1200.00,0,P,14480,0.000000,0.0000,0.0000,0.00,0.00
1400.00,0,C,3,0.000000,0.0000,0.0000,0.00,0.00
1400.00,0,P,748,0.000000,0.0000,0.0000,0.00,0.00
1600.00,0,C,1,0.000000,0.0000,0.0000,0.00,0.00
1600.00,0,P,3072,0.000000,0.0000,0.0000,0.00,0.00
1800.00,0,P,2095,0.000000,0.0000,0.0000,0.00,0.00
2000.00,0,C,82,0.000000,0.0000,0.0000,0.00,0.00
2000.00,0,P,10527,0.000000,0.0000,0.0000,0.00,0.00
2200.00,0,C,1431,0.000000,0.0000,0.0000,0.00,0.00
2200.00,0,P,4360,0.000000,0.0000,0.0000,0.00,0.00
2400.00,0,C,1,0.000000,0.0000,0.0000,0.00,0.00
2400.00,0,P,1452,0.000000,0.0000,0.0000,0.00,0.00
2500.00,0,C,1,0.000000,0.0000,0.0000,0.00,0.00
2500.00,0,P,16485,0.000000,0.0000,0.0000,0.00,0.00
2600.00,0,P,756,0.000000,0.0000,0.0000,0.00,0.00
2700.00,0,P,1111,0.000000,0.0000,0.0000,0.00,0.00
2800.00,0,P,1396,0.000000,0.0000,0.0000,0.00,0.00
2900.00,0,P,2185,0.000000,0.0000,0.0000,0.00,0.00
3000.00,0,C,523,0.000000,0.0000,0.0000,0.00,0.00
3000.00,0,P,7466,0.000000,0.0000,0.0000,0.00,0.00
3100.00,0,P,1984,0.000000,0.0000,0.0000,0.00,0.00
3200.00,0,C,34,0.000000,0.0000,0.0000,0.00,0.00
3200.00,0,P,2718,0.000000,0.0000,0.0000,0.00,0.00
3300.00,0,P,8068,0.000000,0.0000,0.0000,0.00,0.00
