# spot,7764.6401,ts,2026-09-23 03:56:05
strike,dte,cp,oi,gamma,delta,iv,bid,ask
200.00,23,C,2980,0.000000,0.9999,5.2729,7555.90,7579.90
200.00,23,P,233,0.000000,0.0000,3.9120,0.00,0.05
400.00,23,C,152,0.000000,0.9999,4.1517,7356.40,7380.40
400.00,23,P,60,0.000000,0.0000,3.1391,0.00,0.05
600.00,23,C,162,0.000000,0.9999,3.5519,7157.00,7181.00
600.00,23,P,9414,0.000000,0.0000,2.6988,0.00,0.05
800.00,23,C,81,0.000000,0.9999,3.1372,6957.60,6981.60
800.00,23,P,894,0.000000,0.0000,2.3910,0.00,0.05
1000.00,23,C,3850,0.000000,0.9999,2.8209,6758.20,6782.20
1000.00,23,P,8196,0.000000,0.0000,2.1544,0.00,0.05
1200.00,23,C,23,0.000000,0.9999,2.5657,6558.80,6582.80
1200.00,23,P,8367,0.000000,0.0000,1.9626,0.00,0.05
1400.00,23,C,183,0.000000,0.9999,2.3519,6359.40,6383.40
1400.00,23,P,5191,0.000000,0.0000,1.8013,0.00,0.05
1600.00,23,C,162,0.000000,0.9999,2.1479,6159.90,6183.90
1600.00,23,P,2303,0.000000,0.0000,1.7322,0.00,0.10
1800.00,23,C,7,0.000000,0.9999,1.9879,5960.50,5984.50
1800.00,23,P,2469,0.000000,0.0000,1.6049,0.00,0.10
2000.00,23,C,3734,0.000000,0.9999,1.8455,5761.10,5785.10
2000.00,23,P,5857,0.000000,-0.0001,1.4912,0.00,0.10
2200.00,23,C,2866,0.000000,0.9999,1.7172,5561.70,5585.70
2200.00,23,P,840,0.000000,-0.0001,1.3886,0.00,0.10
2400.00,23,P,2872,0.000000,-0.0001,1.2952,0.00,0.10
2600.00,23,C,1,0.000000,0.9999,1.4933,5162.90,5186.90
2600.00,23,P,13975,0.000000,-0.0001,1.2093,0.00,0.10
2700.00,23,C,2,0.000000,0.9999,1.4429,5063.20,5087.20
