# spot,15.6700,ts,2026-07-15 22:54:47
strike,dte,cp,oi,gamma,delta,iv,bid,ask
10.00,7,C,4010,0.004300,0.9942,0.0000,6.45,6.65
10.00,7,P,86,0.004300,-0.0050,1.4926,0.00,0.01
10.50,7,C,5,0.005200,0.9934,1.7425,5.95,6.15
10.50,7,P,26,0.005200,-0.0058,1.3602,0.00,0.01
11.00,7,C,64,0.006500,0.9926,1.2428,5.45,5.65
11.00,7,P,11,0.006500,-0.0066,1.3436,0.00,0.02
11.50,7,C,3,0.008100,0.9915,0.0000,4.95,5.15
11.50,7,P,9,0.008100,-0.0076,1.2126,0.00,0.02
12.00,7,C,1790,0.010300,0.9902,1.2823,4.45,4.65
12.00,7,P,2221,0.010300,-0.0089,0.9941,0.00,0.01
12.50,7,C,18,0.013600,0.9884,1.1399,3.95,4.15
12.50,7,P,231,0.013600,-0.0108,1.1461,0.00,0.02
13.00,7,C,944,0.018700,0.9854,1.0018,3.45,3.65
13.00,7,P,3663,0.018700,-0.0138,0.9776,0.00,0.02
13.50,7,C,215,0.027900,0.9798,0.8673,2.97,3.20
13.50,7,P,1774,0.027900,-0.0194,0.8480,0.00,0.02
14.00,7,C,5478,0.044800,0.9689,0.7359,2.47,2.66
14.00,7,P,11625,0.044800,-0.0302,0.6582,0.00,0.01
14.50,7,C,145,0.075000,0.9485,0.6840,2.06,2.13
14.50,7,P,3148,0.075000,-0.0507,0.6179,0.01,0.04
15.00,7,C,7317,0.130500,0.9025,0.6896,1.61,1.67
15.00,7,P,66638,0.130500,-0.0967,0.6064,0.05,0.08
15.50,7,C,1418,0.201400,0.7982,0.7186,1.22,1.29
15.50,7,P,87215,0.201400,-0.2009,0.6407,0.15,0.19
16.00,7,C,2710,0.231500,0.6613,0.6951,0.92,0.99
16.00,7,P,207942,0.231500,-0.3379,0.6259,0.34,0.40
16.50,7,C,1540,0.223700,0.5378,0.7872,0.72,0.77
16.50,7,P,96854,0.223700,-0.4614,0.6796,0.63,0.70
17.00,7,C,28546,0.202300,0.4377,0.8606,0.55,0.61
17.00,7,P,181284,0.202300,-0.5615,0.8659,0.97,1.01
17.50,7,C,42227,0.177400,0.3580,0.8936,0.44,0.50
17.50,7,P,71035,0.177400,-0.6412,0.9297,1.36,1.44
18.00,7,C,58315,0.153200,0.2952,0.9707,0.36,0.41
18.00,7,P,116289,0.153200,-0.7040,1.0039,1.78,1.85
18.50,7,C,33801,0.131500,0.2460,1.0245,0.29,0.34
18.50,7,P,47758,0.131500,-0.7531,1.0474,2.21,2.28
19.00,7,C,73942,0.112800,0.2078,1.2057,0.25,0.29
19.00,7,P,100879,0.112800,-0.7913,1.1317,2.66,2.74
19.50,7,C,19832,0.097100,0.1781,1.1707,0.20,0.26
19.50,7,P,44432,0.097100,-0.8211,1.0826,3.10,3.20
20.00,7,C,217639,0.084200,0.1547,1.2574,0.18,0.22
20.00,7,P,104210,0.084200,-0.8445,1.0865,3.60,3.70
20.50,7,C,56307,0.073600,0.1361,1.3146,0.15,0.20
20.50,7,P,51643,0.073600,-0.8630,1.2991,4.05,4.15
21.00,7,C,99980,0.064800,0.1212,1.3822,0.14,0.18
21.00,7,P,59818,0.064800,-0.8780,1.3998,4.55,4.65
21.50,7,C,37080,0.057500,0.1090,1.4417,0.12,0.17
21.50,7,P,19655,0.057500,-0.8902,1.4378,5.00,5.15
22.00,7,C,132832,0.051500,0.0989,1.5061,0.11,0.16
22.00,7,P,55065,0.051500,-0.9003,1.4635,5.50,5.60
22.50,7,C,41862,0.046400,0.0904,1.5368,0.10,0.14
22.50,7,P,160,0.046400,-0.9088,1.5488,6.00,6.10
23.00,7,C,90444,0.042000,0.0831,1.6462,0.10,0.13
23.00,7,P,19903,0.042000,-0.9161,1.6310,6.50,6.60
23.50,7,C,43260,0.038300,0.0769,1.6158,0.08,0.12
23.50,7,P,128,0.038300,-0.9223,1.7105,6.95,7.10
24.00,7,C,100944,0.035100,0.0715,1.6346,0.08,0.12
24.00,7,P,16834,0.035100,-0.9277,1.7875,7.45,7.55
24.50,7,C,16303,0.032300,0.0667,1.7600,0.07,0.11
24.50,7,P,35,0.032300,-0.9324,1.8622,7.95,8.05
25.00,7,C,244902,0.029900,0.0626,1.8288,0.07,0.11
25.00,7,P,37588,0.029900,-0.9366,2.0099,8.45,8.55
26.00,7,C,69779,0.025800,0.0556,1.9213,0.06,0.10
26.00,7,P,1687,0.025800,-0.9436,2.1516,9.45,9.55
27.00,7,C,58529,0.022600,0.0500,2.0010,0.05,0.09
27.00,7,P,1260,0.022600,-0.9492,2.1160,10.40,10.55
28.00,7,C,107025,0.020100,0.0454,2.0926,0.04,0.09
28.00,7,P,1238,0.020100,-0.9537,2.0085,11.40,11.55
29.00,7,C,21843,0.018000,0.0417,2.2016,0.04,0.08
29.00,7,P,1813,0.018000,-0.9575,2.1196,12.40,12.50
30.00,7,C,155464,0.016200,0.0385,2.2520,0.05,0.08
30.00,7,P,856,0.016200,-0.9607,2.2261,13.40,13.50
31.00,7,C,48269,0.014800,0.0358,2.2894,0.03,0.07
31.00,7,P,550,0.014800,-0.9634,2.4627,14.40,14.50
32.00,7,C,25231,0.013600,0.0335,2.3819,0.04,0.07
32.00,7,P,108,0.013600,-0.9657,2.5638,15.40,15.50
33.00,7,C,21730,0.012500,0.0315,2.3989,0.01,0.06
33.00,7,P,810,0.012500,-0.9677,2.6611,16.40,16.50
34.00,7,C,31126,0.011600,0.0297,2.4827,0.01,0.06
34.00,7,P,15,0.011600,-0.9694,2.7551,17.30,17.60
35.00,7,C,137281,0.010800,0.0282,2.7362,0.03,0.06
35.00,7,P,29,0.010800,-0.9710,2.8458,18.30,18.60
36.00,7,C,6877,0.010100,0.0268,2.5990,0.01,0.06
36.00,7,P,66,0.010100,-0.9724,2.7891,19.30,19.65
37.00,7,C,21182,0.009500,0.0256,2.9562,0.03,0.06
37.00,7,P,13,0.009500,-0.9736,2.8726,20.30,20.65
38.00,7,C,20095,0.009000,0.0245,2.9395,0.00,0.06
38.00,7,P,28,0.009000,-0.9747,2.9536,21.30,21.65
39.00,7,C,27007,0.008500,0.0235,2.7665,0.01,0.05
39.00,7,P,2,0.008500,-0.9757,3.0324,22.30,22.65
40.00,7,C,83009,0.008000,0.0226,2.8333,0.03,0.05
40.00,7,P,221,0.008000,-0.9766,3.1089,23.30,23.65
42.50,7,C,32258,0.007100,0.0206,3.2144,0.00,0.05
42.50,7,P,7,0.007100,-0.9785,2.8118,25.80,26.15
45.00,7,C,179195,0.006400,0.0191,3.1931,0.00,0.05
45.00,7,P,312,0.006400,-0.9801,3.2691,28.30,28.65
47.50,7,C,18144,0.005800,0.0178,3.2178,0.00,0.04
47.50,7,P,225,0.005800,-0.9814,3.4302,30.80,31.05
50.00,7,C,38434,0.005300,0.0167,3.3462,0.00,0.03
50.00,7,P,46,0.005300,-0.9825,3.5832,33.30,33.55
55.00,7,C,41410,0.004600,0.0150,3.8095,0.00,0.04
