# spot,16.4500,ts,2026-06-30 23:06:47
strike,dte,cp,oi,gamma,delta,iv,bid,ask
42.50,22,C,54530,0.012000,0.0468,1.7889,0.09,0.13
42.50,22,P,6,0.012000,-0.9505,2.0084,24.50,24.60
45.00,22,C,188411,0.010600,0.0422,1.8386,0.08,0.12
45.00,22,P,342,0.010600,-0.9552,2.0727,27.00,27.10
47.50,22,C,23569,0.009500,0.0383,1.8579,0.07,0.11
47.50,22,P,3,0.009500,-0.9591,1.9445,29.45,29.60
50.00,22,C,45732,0.008600,0.0351,1.9358,0.08,0.10
50.00,22,P,46,0.008600,-0.9623,2.2247,31.95,32.05
55.00,22,C,48954,0.007200,0.0300,2.0168,0.06,0.08
55.00,22,P,1,0.007200,-0.9674,2.3534,36.90,37.05
60.00,22,C,109379,0.006100,0.0261,2.2255,0.05,0.06
60.00,22,P,12,0.006100,-0.9712,2.3989,41.90,42.00
65.00,22,C,269966,0.005300,0.0232,2.2792,0.04,0.05
70.00,22,C,80243,0.004700,0.0208,2.4681,0.02,0.06
70.00,22,P,55,0.004700,-0.9766,2.6354,51.75,52.20
75.00,22,C,80699,0.004200,0.0189,2.4801,0.01,0.06
80.00,22,C,22858,0.003800,0.0173,2.4896,0.00,0.05
80.00,22,P,16,0.003800,-0.9800,2.7575,61.70,62.15
85.00,22,C,24631,0.003500,0.0160,2.5996,0.02,0.06
90.00,22,C,3790,0.003200,0.0149,2.7037,0.00,0.04
95.00,22,C,18397,0.002900,0.0139,2.5241,0.00,0.04
100.00,22,C,59077,0.002700,0.0130,2.8158,0.00,0.04
100.00,22,P,332,0.002700,-0.9844,2.9853,81.60,82.10
110.00,22,C,7575,0.002400,0.0116,2.9404,0.00,0.04
110.00,22,P,2,0.002400,-0.9858,3.1195,91.60,92.05
120.00,22,C,9139,0.002100,0.0105,3.0210,0.00,0.04
120.00,22,P,1,0.002100,-0.9869,3.2412,101.55,102.00
130.00,22,C,12693,0.001900,0.0096,3.1226,0.00,0.02
140.00,22,C,484,0.001800,0.0089,3.2159,0.00,0.02
150.00,22,C,1170,0.001600,0.0082,3.2659,0.00,0.02
150.00,22,P,216,0.001600,-0.9891,0.0000,131.40,131.90
160.00,22,C,1159,0.001500,0.0077,3.3453,0.00,0.02
170.00,22,C,1311,0.001400,0.0072,3.3790,0.00,0.02
180.00,22,C,2502,0.001300,0.0068,3.4889,0.00,0.02
180.00,22,P,1,0.001300,-0.9905,3.5214,161.40,161.85
190.00,22,C,3908,0.001200,0.0065,3.5542,0.00,0.02
200.00,22,C,3302,0.001200,0.0062,3.6158,0.00,0.02
200.00,22,P,36,0.001200,-0.9912,3.6669,181.25,181.80
10.00,50,C,269,0.002800,0.9891,0.0000,8.75,9.00
10.00,50,P,617,0.002800,-0.0049,0.7296,0.00,0.02
10.50,50,C,19,0.003800,0.9875,0.5413,8.25,8.50
10.50,50,P,2,0.003800,-0.0065,0.6786,0.00,0.02
11.00,50,C,67,0.005100,0.9852,0.0000,7.75,8.00
11.00,50,P,83,0.005100,-0.0088,0.6299,0.00,0.02
11.50,50,C,10,0.006900,0.9820,0.0000,7.25,7.50
11.50,50,P,209,0.006900,-0.0120,0.7634,0.00,0.02
12.00,50,C,171,0.009400,0.9776,0.0000,6.75,7.00
12.00,50,P,1248,0.009400,-0.0164,0.7180,0.00,0.03
12.50,50,C,47,0.012600,0.9715,0.0000,6.30,6.50
12.50,50,P,160,0.012600,-0.0225,0.6633,0.00,0.03
13.00,50,C,1973,0.016800,0.9634,0.0000,5.90,6.00
13.00,50,P,2133,0.016800,-0.0307,0.6010,0.00,0.04
13.50,50,C,1088,0.022100,0.9526,0.4024,5.40,5.55
13.50,50,P,1101,0.022100,-0.0415,0.5675,0.01,0.05
14.00,50,C,900,0.028500,0.9386,0.4416,4.95,5.05
14.00,50,P,2475,0.028500,-0.0554,0.5247,0.04,0.08
14.50,50,C,642,0.036300,0.9206,0.4780,4.50,4.60
14.50,50,P,7361,0.036300,-0.0735,0.5505,0.10,0.13
15.00,50,C,1182,0.045700,0.8940,0.5051,4.10,4.20
15.00,50,P,9495,0.045700,-0.1000,0.5236,0.18,0.22
15.50,50,C,1,0.055400,0.8553,0.5593,3.75,3.80
15.50,50,P,9799,0.055400,-0.1387,0.5873,0.31,0.34
16.00,50,C,1386,0.063300,0.8094,0.5832,3.40,3.50
16.00,50,P,90666,0.063300,-0.1846,0.6057,0.48,0.51
16.50,50,C,26,0.068700,0.7621,0.5636,3.10,3.20
16.50,50,P,2278,0.068700,-0.2319,0.6397,0.68,0.72
17.00,50,C,3771,0.072000,0.7157,0.6652,2.88,2.92
17.00,50,P,80966,0.072000,-0.2783,0.6791,0.92,0.97
17.50,50,C,42,0.073400,0.6714,0.6602,2.65,2.70
