# spot,17.6500,ts,2026-06-29 22:52:24
strike,dte,cp,oi,gamma,delta,iv,bid,ask
10.00,23,C,4008,0.001300,0.9957,1.1622,8.30,8.55
10.00,23,P,85,0.001300,-0.0016,1.0376,0.00,0.02
10.50,23,C,5,0.001800,0.9951,0.0000,7.75,8.10
10.50,23,P,26,0.001800,-0.0022,0.9619,0.00,0.02
11.00,23,C,72,0.002600,0.9942,0.9810,7.30,7.65
11.00,23,P,11,0.002600,-0.0031,0.8895,0.00,0.02
11.50,23,C,3,0.003600,0.9930,0.0000,6.80,7.10
11.50,23,P,9,0.003600,-0.0043,0.8201,0.00,0.02
12.00,23,C,2173,0.005200,0.9912,0.8160,6.30,6.65
12.00,23,P,2245,0.005200,-0.0061,0.6931,0.00,0.01
12.50,23,C,18,0.007500,0.9886,0.0000,5.80,6.10
12.50,23,P,231,0.007500,-0.0087,0.8829,0.00,0.03
13.00,23,C,1153,0.010800,0.9847,0.0000,5.30,5.60
13.00,23,P,3660,0.010800,-0.0126,0.8215,0.00,0.03
13.50,23,C,61,0.015600,0.9788,0.6998,4.80,5.10
13.50,23,P,1729,0.015600,-0.0184,0.7468,0.00,0.03
14.00,23,C,5480,0.022600,0.9701,0.0000,4.40,4.55
14.00,23,P,10465,0.022600,-0.0272,0.6480,0.01,0.04
14.50,23,C,102,0.032300,0.9571,0.0000,3.95,4.05
14.50,23,P,3092,0.032300,-0.0402,0.5913,0.01,0.05
15.00,23,C,5773,0.045900,0.9372,0.5880,3.45,3.60
15.00,23,P,62507,0.045900,-0.0601,0.6048,0.05,0.08
15.50,23,C,537,0.064200,0.9041,0.5416,3.05,3.15
15.50,23,P,41049,0.064200,-0.0931,0.5576,0.10,0.14
16.00,23,C,1694,0.084400,0.8526,0.5543,2.66,2.72
16.00,23,P,172673,0.084400,-0.1446,0.5865,0.21,0.24
16.50,23,C,703,0.100300,0.7874,0.6060,2.32,2.38
16.50,23,P,56651,0.100300,-0.2099,0.6284,0.35,0.41
17.00,23,C,4358,0.109300,0.7182,0.6436,2.02,2.09
17.00,23,P,131393,0.109300,-0.2791,0.6636,0.55,0.61
17.50,23,C,2667,0.112500,0.6518,0.7069,1.77,1.84
17.50,23,P,31127,0.112500,-0.3455,0.7141,0.80,0.87
18.00,23,C,9661,0.112000,0.5907,0.7444,1.56,1.64
18.00,23,P,105561,0.112000,-0.4066,0.7435,1.09,1.16
18.50,23,C,16185,0.109100,0.5354,0.7876,1.38,1.46
18.50,23,P,31786,0.109100,-0.4619,0.7821,1.41,1.48
19.00,23,C,35345,0.104800,0.4857,0.8205,1.24,1.31
19.00,23,P,108873,0.104800,-0.5115,0.8211,1.77,1.83
19.50,23,C,17497,0.099700,0.4415,0.8535,1.11,1.18
19.50,23,P,29984,0.099700,-0.5558,0.8550,2.14,2.21
20.00,23,C,124493,0.094200,0.4022,0.8892,1.01,1.06
20.00,23,P,107329,0.094200,-0.5950,0.8971,2.52,2.60
20.50,23,C,52401,0.088600,0.3675,0.9209,0.91,0.97
20.50,23,P,55536,0.088600,-0.6298,0.9356,2.93,3.05
21.00,23,C,74192,0.083100,0.3368,0.9500,0.83,0.89
21.00,23,P,60352,0.083100,-0.6604,0.9481,3.35,3.45
21.50,23,C,25633,0.077800,0.3098,0.9807,0.76,0.82
