# spot,16.1300,ts,2026-07-07 22:55:47
strike,dte,cp,oi,gamma,delta,iv,bid,ask
10.00,15,C,4014,0.002600,0.9950,0.0000,7.40,7.65
10.00,15,P,85,0.002600,-0.0032,1.2006,0.00,0.02
10.50,15,C,5,0.003500,0.9940,0.0000,6.90,7.15
10.50,15,P,26,0.003500,-0.0042,1.1057,0.00,0.02
11.00,15,C,70,0.004600,0.9928,1.2232,6.40,6.70
11.00,15,P,11,0.004600,-0.0054,1.0149,0.00,0.02
11.50,15,C,3,0.006100,0.9914,1.1167,5.90,6.20
11.50,15,P,9,0.006100,-0.0069,0.9277,0.00,0.02
12.00,15,C,2173,0.008000,0.9896,1.0146,5.40,5.70
12.00,15,P,2247,0.008000,-0.0086,0.7746,0.00,0.01
12.50,15,C,18,0.010500,0.9874,0.9163,4.60,5.45
12.50,15,P,231,0.010500,-0.0108,0.8428,0.00,0.02
13.00,15,C,1157,0.014100,0.9845,0.8215,4.40,4.70
13.00,15,P,3712,0.014100,-0.0137,0.7578,0.00,0.02
13.50,15,C,61,0.019400,0.9802,0.7298,3.90,4.20
13.50,15,P,1744,0.019400,-0.0180,0.7006,0.00,0.02
14.00,15,C,5481,0.027600,0.9734,0.6408,3.50,3.60
14.00,15,P,10455,0.027600,-0.0248,0.5946,0.00,0.03
14.50,15,C,138,0.041600,0.9608,0.0000,3.00,3.15
14.50,15,P,3087,0.041600,-0.0374,0.6016,0.02,0.04
15.00,15,C,6562,0.066700,0.9326,0.4528,2.57,2.65
15.00,15,P,64706,0.066700,-0.0656,0.5705,0.05,0.07
15.50,15,C,643,0.101400,0.8770,0.5244,2.15,2.22
15.50,15,P,53988,0.101400,-0.1213,0.5499,0.11,0.15
16.00,15,C,2286,0.131800,0.7959,0.5916,1.78,1.85
16.00,15,P,192178,0.131800,-0.2024,0.6097,0.24,0.27
16.50,15,C,1439,0.147700,0.7051,0.6478,1.49,1.55
16.50,15,P,61967,0.147700,-0.2931,0.6592,0.44,0.48
17.00,15,C,6798,0.151100,0.6185,0.7145,1.24,1.31
17.00,15,P,146697,0.151100,-0.3797,0.7030,0.69,0.74
17.50,15,C,4474,0.146900,0.5411,0.7619,1.06,1.12
17.50,15,P,34203,0.146900,-0.4571,0.7551,1.01,1.06
18.00,15,C,36647,0.138800,0.4737,0.8131,0.92,0.96
18.00,15,P,117716,0.138800,-0.5245,0.8034,1.35,1.41
18.50,15,C,21924,0.128900,0.4159,0.8594,0.79,0.85
18.50,15,P,39307,0.128900,-0.5824,0.8465,1.73,1.79
19.00,15,C,45837,0.118400,0.3666,0.8981,0.69,0.73
19.00,15,P,109862,0.118400,-0.6316,0.8930,2.12,2.18
19.50,15,C,19381,0.108100,0.3250,0.9442,0.60,0.65
19.50,15,P,29827,0.108000,-0.6732,0.9356,2.53,2.60
20.00,15,C,174339,0.098300,0.2899,0.9647,0.53,0.58
20.00,15,P,104964,0.098300,-0.7083,0.9938,2.96,3.05
20.50,15,C,54969,0.089400,0.2604,0.9709,0.48,0.52
20.50,15,P,55353,0.089400,-0.7379,1.0426,3.40,3.50
21.00,15,C,85698,0.081400,0.2354,1.0010,0.43,0.48
21.00,15,P,59852,0.081400,-0.7628,1.0827,3.85,3.95
21.50,15,C,32321,0.074300,0.2142,1.0623,0.40,0.43
21.50,15,P,19661,0.074300,-0.7840,1.1145,4.30,4.40
22.00,15,C,123056,0.068000,0.1961,1.1501,0.38,0.41
22.00,15,P,55065,0.068000,-0.8021,1.1640,4.75,4.85
22.50,15,C,35478,0.062500,0.1805,1.1929,0.34,0.38
22.50,15,P,165,0.062500,-0.8177,1.2084,5.25,5.35
23.00,15,C,86081,0.057600,0.1669,1.2251,0.32,0.36
23.00,15,P,19952,0.057600,-0.8313,1.2198,5.70,5.80
23.50,15,C,42247,0.053300,0.1550,1.2579,0.30,0.34
23.50,15,P,143,0.053300,-0.8432,1.2832,6.20,6.30
24.00,15,C,104207,0.049400,0.1446,1.2988,0.28,0.32
24.00,15,P,16880,0.049400,-0.8537,1.2826,6.65,6.80
24.50,15,C,13381,0.046000,0.1352,1.3429,0.26,0.30
24.50,15,P,33,0.046000,-0.8630,1.3404,7.15,7.25
25.00,15,C,291530,0.042900,0.1268,1.3708,0.25,0.29
25.00,15,P,37639,0.042900,-0.8714,1.3963,7.65,7.75
26.00,15,C,68590,0.037600,0.1125,1.4304,0.23,0.26
26.00,15,P,1708,0.037600,-0.8858,1.4682,8.60,8.75
