# spot,18.6300,ts,2026-06-24 23:00:47
strike,dte,cp,oi,gamma,delta,iv,bid,ask
10.00,28,C,4008,0.003000,0.9915,1.6641,8.90,9.50
10.00,28,P,85,0.003000,-0.0052,0.9703,0.00,0.02
10.50,28,C,5,0.003600,0.9908,1.5542,8.40,9.00
10.50,28,P,26,0.003600,-0.0059,0.9020,0.00,0.02
11.00,28,C,72,0.004400,0.9898,1.4076,7.95,8.50
11.00,28,P,11,0.004400,-0.0069,0.8367,0.00,0.02
11.50,28,C,3,0.005400,0.9884,1.3092,7.45,8.00
11.50,28,P,9,0.005400,-0.0082,0.7742,0.00,0.02
12.00,28,C,2173,0.007000,0.9865,1.2526,6.90,7.50
12.00,28,P,2144,0.007000,-0.0102,0.8739,0.00,0.03
12.50,28,C,18,0.009100,0.9836,1.0859,6.45,7.00
12.50,28,P,231,0.009100,-0.0131,0.8376,0.00,0.03
13.00,28,C,1150,0.012100,0.9795,1.0703,5.95,6.55
13.00,28,P,3660,0.012100,-0.0172,0.7831,0.00,0.03
13.50,28,C,57,0.016200,0.9737,0.9514,5.50,6.00
13.50,28,P,1733,0.016200,-0.0229,0.7282,0.00,0.04
14.00,28,C,5479,0.021700,0.9658,0.8689,4.90,5.50
14.00,28,P,10435,0.021700,-0.0309,0.6389,0.02,0.05
14.50,28,C,102,0.029300,0.9546,0.8446,4.45,5.00
14.50,28,P,3092,0.029300,-0.0421,0.5873,0.03,0.05
15.00,28,C,5791,0.041200,0.9320,0.7874,4.05,4.55
15.00,28,P,63706,0.041200,-0.0647,0.6217,0.04,0.10
15.50,28,C,536,0.056200,0.8912,0.7706,3.65,4.10
15.50,28,P,40912,0.056200,-0.1055,0.5945,0.12,0.16
16.00,28,C,1726,0.069200,0.8436,0.6247,3.25,3.45
16.00,28,P,172432,0.069200,-0.1530,0.6542,0.23,0.28
16.50,28,C,724,0.079500,0.7914,0.6614,2.82,3.10
16.50,28,P,40731,0.079500,-0.2052,0.6834,0.35,0.43
17.00,28,C,4485,0.086300,0.7364,0.7172,2.54,2.83
17.00,28,P,99657,0.086300,-0.2603,0.7224,0.53,0.64
17.50,28,C,2594,0.089700,0.6820,0.7584,2.38,2.55
17.50,28,P,22147,0.089700,-0.3146,0.7669,0.74,0.87
18.00,28,C,9939,0.090600,0.6306,0.8498,2.16,2.29
18.00,28,P,102232,0.090600,-0.3660,0.7923,1.00,1.13
18.50,28,C,15576,0.089600,0.5831,0.8581,1.97,2.10
18.50,28,P,29092,0.089600,-0.4136,0.8230,1.30,1.47
19.00,28,C,23209,0.087600,0.5397,0.8889,1.79,1.91
19.00,28,P,83466,0.087600,-0.4570,0.8674,1.63,1.80
19.50,28,C,7545,0.084800,0.5003,0.9233,1.64,1.76
19.50,28,P,23066,0.084800,-0.4964,0.8906,1.99,2.16
20.00,28,C,124109,0.081600,0.4645,0.9724,1.46,1.64
20.00,28,P,109309,0.081600,-0.5322,0.8920,2.35,2.51
