# spot,18.6700,ts,2026-07-27 22:56:46
strike,dte,cp,oi,gamma,delta,iv,bid,ask
10.00,23,C,4001,0.002500,0.9930,0.0000,9.00,9.20
10.00,23,P,872,0.002500,-0.0042,1.0866,0.00,0.02
10.50,23,C,19,0.003000,0.9925,1.1384,8.50,8.70
10.50,23,P,2,0.003000,-0.0047,1.0113,0.00,0.02
11.00,23,C,41,0.003500,0.9919,1.0497,8.00,8.20
11.00,23,P,83,0.003500,-0.0053,0.9393,0.00,0.02
11.50,23,C,10,0.004200,0.9912,0.9650,7.50,7.70
11.50,23,P,234,0.004200,-0.0060,1.0612,0.00,0.02
12.00,23,C,2191,0.005000,0.9904,0.8841,7.00,7.20
12.00,23,P,1466,0.005000,-0.0068,1.0028,0.00,0.01
12.50,23,C,48,0.006200,0.9892,0.8065,6.50,6.70
12.50,23,P,159,0.006200,-0.0080,0.8136,0.00,0.02
13.00,23,C,2708,0.008100,0.9871,0.7321,6.00,6.20
13.00,23,P,2637,0.008100,-0.0101,0.8521,0.00,0.03
13.50,23,C,1093,0.011600,0.9827,0.7676,5.50,5.70
13.50,23,P,1399,0.011600,-0.0145,0.7956,0.00,0.02
14.00,23,C,1065,0.017400,0.9744,0.6944,5.00,5.25
14.00,23,P,4234,0.017400,-0.0229,0.6420,0.00,0.03
14.50,23,C,963,0.025700,0.9611,0.6236,4.60,4.70
14.50,23,P,12033,0.025700,-0.0361,0.6801,0.01,0.04
15.00,23,C,4843,0.036200,0.9426,0.6149,4.10,4.20
15.00,23,P,15931,0.036200,-0.0546,0.5886,0.03,0.07
15.50,23,C,459,0.048900,0.9177,0.4882,3.65,3.75
15.50,23,P,52841,0.048900,-0.0796,0.6739,0.08,0.12
16.00,23,C,2445,0.064400,0.8698,0.5832,3.25,3.35
16.00,23,P,164684,0.064400,-0.1274,0.6978,0.18,0.22
16.50,23,C,1318,0.075900,0.8125,0.7130,2.93,2.99
16.50,23,P,42939,0.075900,-0.1848,0.7108,0.32,0.36
17.00,23,C,7093,0.083700,0.7570,0.7101,2.62,2.69
