# spot,15.2100,ts,2026-08-27 02:48:48
strike,dte,cp,oi,gamma,delta,iv,bid,ask
10.00,20,C,3975,0.003100,0.9939,1.0357,6.95,7.10
10.00,20,P,268,0.003100,-0.0037,0.9689,0.00,0.01
10.50,20,C,240,0.004200,0.9928,0.9402,6.45,6.60
10.50,20,P,2,0.004200,-0.0048,0.8880,0.00,0.02
11.00,20,C,371,0.005600,0.9914,0.8492,5.95,6.10
11.00,20,P,22,0.005600,-0.0062,0.8106,0.00,0.02
11.50,20,C,17,0.007600,0.9897,0.7624,5.45,5.60
11.50,20,P,2016,0.007600,-0.0080,0.7362,0.00,0.02
12.00,20,C,2190,0.010200,0.9874,0.6793,4.95,5.10
12.00,20,P,563,0.010200,-0.0102,0.6090,0.00,0.01
12.50,20,C,42,0.013900,0.9842,0.5997,4.45,4.60
12.50,20,P,115,0.013900,-0.0134,0.6307,0.00,0.03
13.00,20,C,2247,0.019700,0.9794,0.5233,3.95,4.10
13.00,20,P,4390,0.019700,-0.0182,0.5603,0.00,0.03
13.50,20,C,361,0.029200,0.9709,0.4498,3.45,3.60
13.50,20,P,872,0.029200,-0.0267,0.5152,0.00,0.04
14.00,20,C,1301,0.045100,0.9552,0.4857,3.00,3.10
14.00,20,P,34378,0.045100,-0.0424,0.4638,0.00,0.05
14.50,20,C,1532,0.070300,0.9259,0.4936,2.54,2.64
14.50,20,P,18785,0.070400,-0.0719,0.4741,0.03,0.09
15.00,20,C,6319,0.104300,0.8708,0.5030,2.11,2.21
15.00,20,P,59781,0.104300,-0.1268,0.5035,0.11,0.17
15.50,20,C,2156,0.134400,0.7895,0.5223,1.73,1.83
15.50,20,P,89994,0.134400,-0.2082,0.5105,0.21,0.28
16.00,20,C,25263,0.150700,0.6993,0.5630,1.43,1.53
16.00,20,P,217372,0.150700,-0.2983,0.5542,0.41,0.48
16.50,20,C,9080,0.152000,0.6113,0.6150,1.21,1.30
16.50,20,P,49328,0.152000,-0.3864,0.6143,0.69,0.77
17.00,20,C,22063,0.142900,0.5352,0.6758,1.05,1.14
17.00,20,P,230419,0.142900,-0.4624,0.6696,1.02,1.10
17.50,20,C,41223,0.131000,0.4733,0.7616,1.00,1.03
17.50,20,P,86539,0.131000,-0.5243,0.7344,1.40,1.49
18.00,20,C,135770,0.119200,0.4232,0.7978,0.84,0.93
18.00,20,P,164110,0.119200,-0.5745,0.7962,1.81,1.90
18.50,20,C,71926,0.108600,0.3816,0.8640,0.78,0.87
18.50,20,P,62628,0.108600,-0.6160,0.8566,2.24,2.33
