# spot,16.4000,ts,2026-06-18 23:41:48
strike,dte,cp,oi,gamma,delta,iv,bid,ask
10.00,34,C,4009,0.002500,0.9926,0.8048,8.35,8.60
10.00,34,P,85,0.002500,-0.0038,0.8558,0.00,0.02
10.50,34,C,5,0.003200,0.9916,0.9188,7.85,8.10
10.50,34,P,26,0.003200,-0.0047,0.7939,0.00,0.02
11.00,34,C,72,0.004100,0.9905,0.6247,7.35,7.60
11.00,34,P,11,0.004100,-0.0059,0.7347,0.00,0.02
11.50,34,C,3,0.005400,0.9890,0.7715,6.85,7.10
11.50,34,P,9,0.005400,-0.0074,0.6779,0.00,0.02
12.00,34,C,2175,0.007000,0.9869,0.7027,6.35,6.60
12.00,34,P,2144,0.007000,-0.0095,0.6233,0.00,0.02
12.50,34,C,18,0.009400,0.9840,0.6368,5.85,6.10
12.50,34,P,231,0.009400,-0.0124,0.6028,0.00,0.03
13.00,34,C,1155,0.012800,0.9796,0.0000,5.40,5.65
13.00,34,P,3660,0.012800,-0.0168,0.5496,0.00,0.03
13.50,34,C,57,0.017700,0.9729,0.5128,4.90,5.05
13.50,34,P,1733,0.017700,-0.0235,0.5386,0.00,0.04
14.00,34,C,5479,0.024900,0.9627,0.5304,4.45,4.55
14.00,34,P,10367,0.024900,-0.0337,0.5005,0.01,0.05
14.50,34,C,102,0.035200,0.9458,0.4707,3.95,4.10
14.50,34,P,3079,0.035200,-0.0505,0.5021,0.04,0.08
15.00,34,C,5750,0.049300,0.9174,0.5269,3.55,3.65
15.00,34,P,63926,0.049300,-0.0790,0.5235,0.10,0.14
15.50,34,C,533,0.065000,0.8740,0.5365,3.15,3.25
15.50,34,P,32891,0.065000,-0.1224,0.5533,0.20,0.23
16.00,34,C,1716,0.078200,0.8193,0.5891,2.81,2.86
16.00,34,P,136950,0.078200,-0.1771,0.5862,0.35,0.38
16.50,34,C,670,0.086900,0.7604,0.6271,2.50,2.56
16.50,34,P,39776,0.086900,-0.2360,0.6228,0.54,0.58
17.00,34,C,4553,0.091500,0.7026,0.6632,2.25,2.30
17.00,34,P,96294,0.091500,-0.2938,0.6602,0.78,0.82
17.50,34,C,2329,0.093100,0.6482,0.6997,2.02,2.08
17.50,34,P,27434,0.093100,-0.3482,0.6954,1.05,1.10
18.00,34,C,7809,0.092700,0.5979,0.7342,1.84,1.89
18.00,34,P,98451,0.092700,-0.3985,0.7310,1.36,1.41
18.50,34,C,12174,0.090800,0.5519,0.7668,1.68,1.73
