# spot,16.7800,ts,2026-06-19 20:34:46
strike,dte,cp,oi,gamma,delta,iv,bid,ask
10.00,33,C,4009,0.002700,0.9923,0.0000,0.00,0.00
10.00,33,P,85,0.002700,-0.0041,0.8648,0.00,0.02
10.50,33,C,5,0.003500,0.9912,0.0000,0.00,0.00
10.50,33,P,26,0.003500,-0.0052,0.8019,0.00,0.02
11.00,33,C,72,0.004500,0.9898,0.0000,0.00,0.00
11.00,33,P,11,0.004500,-0.0066,0.7418,0.00,0.02
11.50,33,C,3,0.005900,0.9879,0.0000,0.00,0.00
11.50,33,P,9,0.005900,-0.0084,0.6842,0.00,0.02
12.00,33,C,2174,0.007900,0.9854,0.0000,0.00,0.00
12.00,33,P,2144,0.007900,-0.0110,0.7150,0.00,0.05
12.50,33,C,18,0.010600,0.9816,0.0000,0.00,0.00
12.50,33,P,231,0.010600,-0.0148,0.6556,0.00,0.05
13.00,33,C,1154,0.014600,0.9760,0.0000,0.00,0.00
13.00,33,P,3660,0.014600,-0.0204,0.6162,0.00,0.06
13.50,33,C,57,0.020300,0.9675,0.0000,0.00,0.00
13.50,33,P,1733,0.020300,-0.0289,0.5742,0.00,0.07
14.00,33,C,5479,0.028000,0.9552,0.0000,3.90,0.00
14.00,33,P,10386,0.028000,-0.0412,0.5304,0.00,0.08
14.50,33,C,102,0.038200,0.9377,0.0000,0.00,0.00
14.50,33,P,3091,0.038200,-0.0587,0.5231,0.01,0.12
15.00,33,C,5710,0.051400,0.9108,0.5581,3.55,3.75
15.00,33,P,65365,0.051400,-0.0856,0.5261,0.05,0.17
15.50,33,C,536,0.066400,0.8682,0.5384,3.10,3.30
15.50,33,P,39325,0.066400,-0.1282,0.5513,0.14,0.26
16.00,33,C,1740,0.079000,0.8123,0.5876,2.77,2.95
16.00,33,P,139415,0.079000,-0.1840,0.5815,0.27,0.40
16.50,33,C,693,0.086900,0.7531,0.6346,2.50,2.64
16.50,33,P,40524,0.086900,-0.2433,0.6219,0.45,0.61
17.00,33,C,4704,0.091100,0.6961,0.6957,2.33,2.38
17.00,33,P,99232,0.091100,-0.3003,0.6593,0.69,0.84
17.50,33,C,2544,0.092600,0.6427,0.7106,2.01,2.17
17.50,33,P,25937,0.092600,-0.3537,0.7065,0.98,1.14
18.00,33,C,8172,0.092200,0.5932,0.7397,1.80,1.97
18.00,33,P,98383,0.092200,-0.4032,0.7367,1.27,1.44
18.50,33,C,14759,0.090400,0.5477,0.7718,1.63,1.80
18.50,33,P,27956,0.090400,-0.4487,0.7674,1.60,1.76
19.00,33,C,21860,0.087700,0.5063,0.8084,1.50,1.66
19.00,33,P,75817,0.087700,-0.4900,0.8025,1.96,2.12
19.50,33,C,5306,0.084400,0.4690,0.8331,1.36,1.52
19.50,33,P,21445,0.084400,-0.5274,0.8348,2.33,2.50
20.00,33,C,128259,0.080800,0.4354,0.8882,1.25,1.42
20.00,33,P,107608,0.080800,-0.5610,0.8633,2.73,2.87
20.50,33,C,44553,0.077000,0.4052,0.8997,1.17,1.33
20.50,33,P,49876,0.077000,-0.5912,0.8915,3.10,3.30
21.00,33,C,68875,0.073300,0.3782,0.9279,1.09,1.24
21.00,33,P,60858,0.073300,-0.6182,0.9133,3.50,3.70
21.50,33,C,25416,0.069600,0.3539,0.9555,1.01,1.17
21.50,33,P,21029,0.069600,-0.6425,0.9536,3.95,4.15
22.00,33,C,98805,0.066100,0.3321,0.9830,0.95,1.10
22.00,33,P,57964,0.066100,-0.6643,0.9770,4.35,4.60
22.50,33,C,20054,0.062800,0.3124,1.0063,0.88,1.04
22.50,33,P,174,0.062800,-0.6840,0.9959,4.80,5.00
23.00,33,C,60786,0.059600,0.2947,1.0255,0.82,0.97
23.00,33,P,20021,0.059600,-0.7017,1.0236,5.25,5.45
23.50,33,C,29305,0.056700,0.2786,1.0488,0.77,0.92
23.50,33,P,126,0.056700,-0.7178,1.0479,5.70,5.90
24.00,33,C,103309,0.054000,0.2639,1.0744,0.73,0.88
24.00,33,P,16479,0.054000,-0.7325,1.0690,6.15,6.35
24.50,33,C,12514,0.051400,0.2506,1.1001,0.70,0.84
24.50,33,P,35,0.051400,-0.7458,1.0869,6.60,6.80
25.00,33,C,222820,0.049000,0.2384,1.1204,0.66,0.80
25.00,33,P,38383,0.049000,-0.7580,1.1019,7.05,7.25
26.00,33,C,29832,0.044700,0.2170,1.1625,0.60,0.73
26.00,33,P,1709,0.044700,-0.7794,1.1546,8.00,8.20
27.00,33,C,54114,0.041000,0.1988,1.2025,0.54,0.68
27.00,33,P,1445,0.041000,-0.7976,1.1999,8.95,9.15
28.00,33,C,102710,0.037800,0.1832,1.2455,0.51,0.63
28.00,33,P,1222,0.037800,-0.8132,1.2383,9.90,10.10
29.00,33,C,19249,0.034900,0.1697,1.2826,0.47,0.59
29.00,33,P,1796,0.034900,-0.8267,1.2704,10.85,11.05
30.00,33,C,144842,0.032400,0.1578,1.3218,0.44,0.56
30.00,33,P,412,0.032400,-0.8385,1.3156,11.80,12.05
31.00,33,C,44992,0.030200,0.1474,1.3565,0.41,0.53
31.00,33,P,550,0.030200,-0.8490,1.3568,12.80,13.00
32.00,33,C,18609,0.028200,0.1382,1.4156,0.37,0.50
32.00,33,P,44,0.028200,-0.8582,1.3944,13.75,14.00
33.00,33,C,15430,0.026400,0.1300,1.4176,0.36,0.47
33.00,33,P,811,0.026400,-0.8664,1.4067,14.70,14.95
34.00,33,C,21746,0.024800,0.1225,1.4492,0.34,0.45
34.00,33,P,11,0.024800,-0.8739,1.4366,15.70,15.90
35.00,33,C,317153,0.023400,0.1158,1.4779,0.32,0.43
35.00,33,P,48,0.023400,-0.8806,1.4634,16.65,16.90
36.00,33,C,6828,0.022100,0.1097,1.5036,0.30,0.41
36.00,33,P,69,0.022100,-0.8866,1.5118,17.65,17.90
37.00,33,C,25999,0.020900,0.1042,1.5316,0.28,0.40
37.00,33,P,10,0.020900,-0.8922,1.5336,18.65,18.85
38.00,33,C,31412,0.019800,0.0991,1.5573,0.27,0.38
38.00,33,P,23,0.019800,-0.8973,1.5527,19.60,19.85
39.00,33,C,27326,0.018800,0.0944,1.5862,0.26,0.37
39.00,33,P,2,0.018800,-0.9020,1.5689,20.60,20.80
40.00,33,C,69386,0.017900,0.0901,1.6354,0.30,0.35
40.00,33,P,198,0.017900,-0.9063,1.6110,21.60,21.80
42.50,33,C,53198,0.016000,0.0806,1.6618,0.22,0.32
42.50,33,P,6,0.016000,-0.9158,1.6517,24.05,24.25
45.00,33,C,188440,0.014300,0.0726,1.7050,0.19,0.29
