# spot,15.2800,ts,2026-08-11 22:36:35
strike,dte,cp,oi,gamma,delta,iv,bid,ask
10.00,8,C,4177,0.003300,0.9954,1.4647,6.70,6.90
10.00,8,P,878,0.003300,-0.0037,1.4204,0.00,0.01
10.50,8,C,19,0.004200,0.9946,1.3262,6.15,6.45
10.50,8,P,2,0.004200,-0.0045,1.2972,0.00,0.01
11.00,8,C,41,0.005400,0.9936,1.1943,5.65,5.95
11.00,8,P,83,0.005400,-0.0054,1.1792,0.00,0.01
11.50,8,C,10,0.007000,0.9924,1.3698,5.20,5.40
11.50,8,P,234,0.007000,-0.0066,1.0659,0.00,0.01
12.00,8,C,2150,0.009300,0.9908,1.2322,4.70,4.90
12.00,8,P,1476,0.009300,-0.0082,0.9567,0.00,0.01
12.50,8,C,58,0.012500,0.9886,1.0995,4.20,4.40
12.50,8,P,159,0.012500,-0.0104,0.9312,0.00,0.02
13.00,8,C,2474,0.017400,0.9855,0.9710,3.70,3.90
13.00,8,P,2638,0.017400,-0.0135,0.9478,0.00,0.03
13.50,8,C,1076,0.025300,0.9805,0.8460,3.25,3.35
13.50,8,P,2350,0.025300,-0.0186,0.8278,0.00,0.02
14.00,8,C,1217,0.039500,0.9709,0.7478,2.76,2.81
14.00,8,P,4417,0.039500,-0.0281,0.7101,0.00,0.03
14.50,8,C,1080,0.066700,0.9501,0.6255,2.27,2.32
14.50,8,P,12609,0.066700,-0.0490,0.6724,0.01,0.04
15.00,8,C,7784,0.115000,0.9014,0.6401,1.81,1.86
15.00,8,P,45790,0.115000,-0.0976,0.6128,0.05,0.08
15.50,8,C,2080,0.170200,0.8098,0.6660,1.41,1.46
15.50,8,P,53060,0.170200,-0.1893,0.6566,0.14,0.18
16.00,8,C,3557,0.203900,0.6956,0.6810,1.09,1.14
16.00,8,P,154139,0.203900,-0.3034,0.6860,0.31,0.35
16.50,8,C,6057,0.211100,0.5808,0.7633,0.84,0.91
16.50,8,P,103760,0.211100,-0.4183,0.7524,0.57,0.62
17.00,8,C,36389,0.197300,0.4797,0.8370,0.67,0.73
17.00,8,P,124739,0.197300,-0.5193,0.8165,0.90,0.95
17.50,8,C,8046,0.175500,0.3986,1.1152,0.55,0.60
17.50,8,P,86165,0.175500,-0.6004,0.8569,1.27,1.32
18.00,8,C,60373,0.153200,0.3351,0.9558,0.46,0.51
18.00,8,P,137854,0.153200,-0.6640,0.8417,1.68,1.73
18.50,8,C,63438,0.133200,0.2853,1.0299,0.39,0.44
18.50,8,P,81236,0.133200,-0.7137,1.0440,2.11,2.16
19.00,8,C,61526,0.115900,0.2461,1.1147,0.34,0.38
19.00,8,P,102352,0.115900,-0.7530,1.0167,2.56,2.62
19.50,8,C,41188,0.101300,0.2149,1.1910,0.30,0.35
19.50,8,P,53140,0.101300,-0.7842,1.2015,3.00,3.10
20.00,8,C,191421,0.089100,0.1898,1.2541,0.28,0.30
20.00,8,P,101485,0.089100,-0.8092,1.3031,3.45,3.55
20.50,8,C,16331,0.079000,0.1693,1.3049,0.25,0.29
20.50,8,P,1539,0.079000,-0.8297,1.1131,3.95,4.05
21.00,8,C,159338,0.070400,0.1524,1.3699,0.22,0.26
21.00,8,P,82084,0.070400,-0.8466,1.3941,4.40,4.50
21.50,8,C,16304,0.063200,0.1383,1.4175,0.20,0.24
21.50,8,P,1092,0.063200,-0.8608,1.1756,4.90,5.00
22.00,8,C,177796,0.057000,0.1263,1.4453,0.20,0.22
22.00,8,P,55692,0.057000,-0.8728,1.4859,5.35,5.45
22.50,8,C,32720,0.051800,0.1160,1.5283,0.17,0.21
22.50,8,P,692,0.051800,-0.8831,1.2592,5.85,5.95
23.00,8,C,167313,0.047300,0.1071,1.6082,0.16,0.20
23.00,8,P,24099,0.047300,-0.8920,1.8891,6.35,6.45
23.50,8,C,29871,0.043300,0.0992,1.6144,0.15,0.19
23.50,8,P,434,0.043300,-0.8998,1.6177,6.85,6.95
24.00,8,C,189596,0.039900,0.0923,1.7242,0.15,0.18
24.00,8,P,15748,0.039900,-0.9068,1.6916,7.30,7.40
24.50,8,C,3488,0.036800,0.0861,1.7175,0.13,0.17
24.50,8,P,57,0.036800,-0.9129,1.9379,7.80,7.90
25.00,8,C,176324,0.034100,0.0806,1.7563,0.13,0.16
25.00,8,P,18625,0.034100,-0.9185,1.8960,8.30,8.40
26.00,8,C,165946,0.029600,0.0710,1.8369,0.11,0.14
26.00,8,P,1375,0.029600,-0.9280,2.0315,9.30,9.40
27.00,8,C,65800,0.025900,0.0631,1.9033,0.09,0.13
27.00,8,P,231,0.025900,-0.9360,1.8451,10.25,10.35
28.00,8,C,97856,0.022800,0.0564,1.9550,0.08,0.11
28.00,8,P,812,0.022800,-0.9427,1.9577,11.25,11.35
29.00,8,C,97427,0.020200,0.0507,2.0142,0.07,0.10
29.00,8,P,691,0.020200,-0.9484,2.2486,12.25,12.35
30.00,8,C,168306,0.018100,0.0458,2.0622,0.08,0.10
30.00,8,P,649,0.018100,-0.9533,2.2682,13.25,13.35
31.00,8,C,34971,0.016300,0.0415,2.1800,0.06,0.09
31.00,8,P,428,0.016300,-0.9576,2.3692,14.25,14.35
32.00,8,C,16887,0.014700,0.0378,2.2140,0.05,0.08
32.00,8,P,815,0.014700,-0.9613,2.4662,15.20,15.30
33.00,8,C,14985,0.013300,0.0346,2.2676,0.04,0.07
33.00,8,P,20,0.013300,-0.9645,2.5596,16.20,16.30
34.00,8,C,10477,0.012100,0.0317,2.2799,0.04,0.07
34.00,8,P,6,0.012100,-0.9673,2.6497,17.20,17.30
35.00,8,C,135451,0.011100,0.0293,2.5416,0.05,0.06
35.00,8,P,687,0.011100,-0.9698,2.7366,18.20,18.30
36.00,8,C,17497,0.010200,0.0271,2.4987,0.03,0.06
36.00,8,P,7,0.010200,-0.9720,2.7106,19.20,19.30
37.00,8,C,37878,0.009400,0.0252,2.4986,0.02,0.05
