# spot,15.0300,ts,2026-07-10 22:56:47
strike,dte,cp,oi,gamma,delta,iv,bid,ask
10.00,12,C,4022,0.002700,0.9958,0.0000,6.75,7.10
10.00,12,P,86,0.002700,-0.0030,1.1683,0.00,0.01
10.50,12,C,5,0.003600,0.9951,1.1776,6.25,6.60
10.50,12,P,26,0.003600,-0.0037,1.1616,0.00,0.02
11.00,12,C,64,0.004600,0.9942,1.5088,5.75,6.05
11.00,12,P,11,0.004600,-0.0046,1.0591,0.00,0.02
11.50,12,C,3,0.006000,0.9932,0.0000,5.30,5.55
11.50,12,P,9,0.006000,-0.0056,0.9605,0.00,0.02
12.00,12,C,2176,0.007900,0.9919,1.2475,4.75,5.05
12.00,12,P,2220,0.007900,-0.0069,0.7930,0.00,0.01
12.50,12,C,18,0.010600,0.9901,0.0000,4.30,4.55
12.50,12,P,231,0.010600,-0.0087,0.9659,0.00,0.03
13.00,12,C,944,0.014800,0.9874,0.0000,3.80,4.05
13.00,12,P,3662,0.014800,-0.0114,0.6250,0.00,0.01
13.50,12,C,163,0.021800,0.9828,0.0000,3.30,3.60
13.50,12,P,1744,0.021800,-0.0160,0.7745,0.00,0.03
14.00,12,C,5482,0.034600,0.9740,0.0000,2.90,2.98
14.00,12,P,10447,0.034600,-0.0248,0.5472,0.01,0.03
14.50,12,C,153,0.062000,0.9503,0.4900,2.42,2.50
14.50,12,P,3093,0.062000,-0.0485,0.5552,0.03,0.05
15.00,12,C,7232,0.107800,0.8914,0.8086,2.03,2.06
15.00,12,P,63901,0.107800,-0.1075,0.5530,0.08,0.11
15.50,12,C,1213,0.149600,0.8041,0.7555,1.60,1.68
15.50,12,P,68568,0.149600,-0.1947,0.6090,0.19,0.24
16.00,12,C,2380,0.175200,0.7043,0.6263,1.30,1.37
16.00,12,P,193995,0.175200,-0.2945,0.6650,0.39,0.43
16.50,12,C,1574,0.180400,0.6031,0.6902,1.05,1.13
16.50,12,P,61657,0.180400,-0.3957,0.7167,0.63,0.68
17.00,12,C,10387,0.172800,0.5133,0.7762,0.87,0.94
17.00,12,P,149408,0.172800,-0.4855,0.7609,0.93,0.99
17.50,12,C,9521,0.159600,0.4373,0.8255,0.72,0.78
17.50,12,P,43609,0.159600,-0.5615,0.8147,1.29,1.35
18.00,12,C,37056,0.144400,0.3743,0.8630,0.61,0.64
18.00,12,P,113898,0.144400,-0.6245,0.8654,1.67,1.74
18.50,12,C,32054,0.129100,0.3226,0.9260,0.52,0.57
18.50,12,P,45459,0.129100,-0.6762,0.9152,2.08,2.15
19.00,12,C,45105,0.114900,0.2806,0.9762,0.45,0.50
19.00,12,P,103620,0.114900,-0.7183,0.9604,2.50,2.58
19.50,12,C,19357,0.102200,0.2464,1.0213,0.39,0.44
19.50,12,P,29502,0.102200,-0.7525,1.0155,2.93,3.05
20.00,12,C,182992,0.091100,0.2184,1.0696,0.35,0.39
20.00,12,P,104836,0.091100,-0.7804,1.0471,3.40,3.50
20.50,12,C,54908,0.081500,0.1954,1.1130,0.30,0.36
20.50,12,P,55310,0.081500,-0.8034,0.9445,3.80,3.95
21.00,12,C,99700,0.073300,0.1763,1.1595,0.28,0.32
21.00,12,P,59840,0.073300,-0.8225,1.1611,4.30,4.45
21.50,12,C,33440,0.066200,0.1602,1.2051,0.25,0.30
21.50,12,P,19676,0.066200,-0.8387,1.1367,4.75,4.90
22.00,12,C,142539,0.060100,0.1464,1.2584,0.23,0.28
22.00,12,P,55068,0.060100,-0.8524,1.2103,5.25,5.40
22.50,12,C,43104,0.054800,0.1346,1.2995,0.21,0.26
22.50,12,P,160,0.054800,-0.8642,0.9170,5.75,5.85
23.00,12,C,90042,0.050300,0.1244,1.3431,0.20,0.24
23.00,12,P,19928,0.050300,-0.8745,1.3078,6.20,6.35
23.50,12,C,43268,0.046200,0.1154,1.3824,0.19,0.23
