# spot,16.5000,ts,2026-07-14 22:53:45
strike,dte,cp,oi,gamma,delta,iv,bid,ask
10.00,8,C,4010,0.001900,0.9970,0.0000,7.20,7.45
10.00,8,P,86,0.001900,-0.0021,1.4965,0.00,0.01
10.50,8,C,5,0.002400,0.9965,1.4091,6.70,6.95
10.50,8,P,26,0.002400,-0.0025,1.3740,0.00,0.01
11.00,8,C,64,0.003100,0.9960,1.2773,6.20,6.45
11.00,8,P,11,0.003100,-0.0031,1.3664,0.00,0.02
11.50,8,C,3,0.004100,0.9953,1.3196,5.70,6.00
11.50,8,P,9,0.004100,-0.0038,1.2456,0.00,0.02
12.00,8,C,2176,0.005400,0.9943,1.1920,5.20,5.50
12.00,8,P,2221,0.005400,-0.0047,1.0358,0.00,0.01
12.50,8,C,18,0.007400,0.9930,1.0074,4.70,5.00
12.50,8,P,231,0.007400,-0.0060,1.4101,0.00,0.03
13.00,8,C,944,0.010300,0.9911,1.0696,4.20,4.50
13.00,8,P,3663,0.010300,-0.0080,1.2885,0.00,0.03
13.50,8,C,219,0.015000,0.9879,0.9744,3.70,4.00
13.50,8,P,1744,0.015000,-0.0111,0.7318,0.00,0.01
14.00,8,C,5479,0.024300,0.9812,0.8757,3.20,3.50
14.00,8,P,10529,0.024300,-0.0178,0.6990,0.00,0.02
14.50,8,C,146,0.043700,0.9645,1.2593,2.83,2.93
14.50,8,P,3136,0.043700,-0.0345,0.6969,0.01,0.03
15.00,8,C,7439,0.077100,0.9278,0.0000,2.37,2.46
15.00,8,P,66590,0.077100,-0.0712,0.6617,0.03,0.07
15.50,8,C,1426,0.118300,0.8632,0.0000,1.95,2.04
15.50,8,P,87951,0.118300,-0.1359,0.6283,0.10,0.14
16.00,8,C,2699,0.151400,0.7728,1.2798,1.57,1.65
16.00,8,P,192520,0.151400,-0.2263,0.7701,0.23,0.28
16.50,8,C,1452,0.167600,0.6752,0.0000,1.28,1.36
16.50,8,P,98115,0.167600,-0.3238,0.8133,0.43,0.49
17.00,8,C,27232,0.170700,0.5826,0.8950,1.04,1.12
17.00,8,P,184258,0.170700,-0.4164,0.8745,0.69,0.77
17.50,8,C,27128,0.164500,0.4992,0.9484,0.86,0.94
17.50,8,P,55714,0.164500,-0.4998,0.9488,1.01,1.10
18.00,8,C,39599,0.152400,0.4275,1.0719,0.72,0.80
18.00,8,P,112034,0.152400,-0.5715,0.9967,1.36,1.47
18.50,8,C,33804,0.137900,0.3682,0.7825,0.61,0.68
18.50,8,P,47813,0.137900,-0.6308,1.0523,1.75,1.85
19.00,8,C,69205,0.123500,0.3200,1.1393,0.52,0.59
19.00,8,P,101011,0.123500,-0.6790,1.1077,2.16,2.26
19.50,8,C,17917,0.110200,0.2807,1.1912,0.44,0.51
19.50,8,P,44432,0.110200,-0.7183,1.1580,2.58,2.68
20.00,8,C,215900,0.098400,0.2483,1.2619,0.39,0.45
20.00,8,P,104209,0.098400,-0.7508,1.1208,3.00,3.15
20.50,8,C,57204,0.088200,0.2213,1.3123,0.33,0.40
20.50,8,P,55286,0.088200,-0.7778,1.2895,3.45,3.60
21.00,8,C,99235,0.079300,0.1984,1.3635,0.31,0.36
21.00,8,P,59818,0.079300,-0.8006,1.5350,3.90,4.05
21.50,8,C,36004,0.071600,0.1788,2.1781,0.27,0.34
21.50,8,P,19655,0.071600,-0.8202,1.5228,4.40,4.50
22.00,8,C,134321,0.064900,0.1616,1.4897,0.25,0.31
22.00,8,P,55060,0.064900,-0.8374,1.5764,4.85,5.00
22.50,8,C,42692,0.059000,0.1464,1.5371,0.22,0.28
22.50,8,P,160,0.059000,-0.8527,2.0456,5.30,5.45
23.00,8,C,98409,0.053700,0.1325,1.5861,0.20,0.24
23.00,8,P,19903,0.053700,-0.8666,1.7104,5.80,5.95
23.50,8,C,43264,0.048900,0.1197,2.4372,0.18,0.24
23.50,8,P,128,0.048900,-0.8793,1.6007,6.30,6.40
24.00,8,C,100643,0.044600,0.1081,1.6751,0.17,0.22
24.00,8,P,16835,0.044600,-0.8910,1.4367,6.75,6.90
24.50,8,C,15745,0.040600,0.0974,1.7165,0.15,0.21
24.50,8,P,35,0.040600,-0.9016,0.0000,7.25,7.40
25.00,8,C,239904,0.037100,0.0880,1.7527,0.14,0.19
25.00,8,P,37588,0.037100,-0.9110,0.0000,7.75,7.85
26.00,8,C,69610,0.031200,0.0733,1.8358,0.12,0.17
26.00,8,P,1687,0.031200,-0.9258,0.0000,8.70,8.85
27.00,8,C,63638,0.026800,0.0637,2.8394,0.10,0.15
27.00,8,P,1260,0.026800,-0.9354,0.0000,9.70,9.80
28.00,8,C,108405,0.023700,0.0574,2.0197,0.09,0.14
28.00,8,P,1234,0.023700,-0.9417,4.1800,10.70,10.80
29.00,8,C,21112,0.021200,0.0526,2.0812,0.08,0.13
29.00,8,P,1813,0.021200,-0.9464,4.3590,11.65,11.80
30.00,8,C,159503,0.019100,0.0486,2.1494,0.08,0.12
30.00,8,P,856,0.019100,-0.9505,4.5588,12.65,12.80
31.00,8,C,48546,0.017300,0.0450,2.2090,0.06,0.12
31.00,8,P,550,0.017300,-0.9541,2.0445,13.65,13.75
32.00,8,C,25235,0.015800,0.0417,2.2812,0.05,0.12
32.00,8,P,108,0.015800,-0.9573,2.1378,14.65,14.75
33.00,8,C,22892,0.014400,0.0387,2.3480,0.05,0.11
