# spot,15.3000,ts,2026-09-07 23:30:53
strike,dte,cp,oi,gamma,delta,iv,bid,ask
10.00,9,C,3980,0.004200,0.9943,0.0000,0.00,0.00
10.00,9,P,268,0.004200,-0.0046,1.2524,0.00,0.01
10.50,9,C,240,0.005500,0.9933,0.0000,0.00,0.00
10.50,9,P,2,0.005500,-0.0056,1.1373,0.00,0.01
11.00,9,C,365,0.007300,0.9919,0.0000,0.00,0.00
11.00,9,P,25,0.007300,-0.0070,1.0271,0.00,0.01
11.50,9,C,27,0.009900,0.9898,0.0000,0.00,0.00
11.50,9,P,2021,0.009900,-0.0091,1.0059,0.00,0.02
12.00,9,C,2132,0.014100,0.9864,0.0000,0.00,0.00
12.00,9,P,561,0.014100,-0.0125,0.9933,0.00,0.04
12.50,9,C,45,0.021000,0.9808,0.0000,0.00,5.00
12.50,9,P,120,0.021000,-0.0182,0.8775,0.00,0.04
13.00,9,C,2274,0.032200,0.9713,0.0000,3.20,0.00
13.00,9,P,4571,0.032200,-0.0277,0.7649,0.00,0.04
13.50,9,C,444,0.049800,0.9559,0.0000,0.00,5.00
13.50,9,P,1103,0.049800,-0.0430,0.6548,0.00,0.04
14.00,9,C,2479,0.077100,0.9308,1.7219,0.00,6.00
14.00,9,P,35268,0.077100,-0.0682,0.6106,0.01,0.06
14.50,9,C,2413,0.118400,0.8861,1.6576,1.75,3.50
14.50,9,P,34740,0.118400,-0.1128,0.5638,0.03,0.09
15.00,9,C,10028,0.170600,0.8142,0.9293,1.36,2.00
15.00,9,P,95898,0.170600,-0.1847,0.5452,0.07,0.17
15.50,9,C,7447,0.217100,0.7085,0.6296,0.99,1.18
15.50,9,P,94128,0.217100,-0.2904,0.5942,0.22,0.34
16.00,9,C,49350,0.213800,0.5819,0.6905,0.76,0.92
16.00,9,P,244031,0.213800,-0.4170,0.6802,0.48,0.63
16.50,9,C,52258,0.194000,0.4816,0.7714,0.60,0.76
16.50,9,P,119102,0.194000,-0.5173,0.7470,0.80,0.96
17.00,9,C,69692,0.171600,0.4032,0.8548,0.49,0.65
17.00,9,P,284554,0.171600,-0.5957,0.8404,1.19,1.37
17.50,9,C,63487,0.150600,0.3411,0.9517,0.44,0.57
17.50,9,P,98648,0.150600,-0.6578,0.9208,1.62,1.78
18.00,9,C,107081,0.131700,0.2916,1.0306,0.38,0.51
18.00,9,P,166834,0.131700,-0.7073,1.0156,2.07,2.24
18.50,9,C,70380,0.115400,0.2518,1.1143,0.35,0.46
18.50,9,P,61317,0.115400,-0.7472,1.0929,2.53,2.69
19.00,9,C,130897,0.101400,0.2196,1.1902,0.31,0.43
19.00,9,P,166730,0.101400,-0.7793,1.1615,2.99,3.15
19.50,9,C,24041,0.089500,0.1936,1.2330,0.26,0.38
19.50,9,P,24758,0.089500,-0.8054,0.0000,0.00,0.00
20.00,9,C,324597,0.079400,0.1722,1.3139,0.25,0.36
20.00,9,P,158853,0.079400,-0.8267,0.0000,2.00,0.00
20.50,9,C,17635,0.070900,0.1547,1.3401,0.21,0.31
20.50,9,P,5306,0.070900,-0.8442,0.0000,0.00,0.00
21.00,9,C,143025,0.063700,0.1402,1.4134,0.20,0.30
21.00,9,P,18617,0.063700,-0.8588,0.0000,1.25,0.00
21.50,9,C,9908,0.057600,0.1279,1.4544,0.18,0.27
21.50,9,P,3433,0.057600,-0.8710,0.0000,0.00,0.00
22.00,9,C,151266,0.052300,0.1175,1.5354,0.18,0.27
22.00,9,P,42025,0.052300,-0.8814,0.0000,0.00,0.00
22.50,9,C,8515,0.047800,0.1086,1.5638,0.15,0.25
22.50,9,P,74,0.047800,-0.8903,0.0000,0.00,0.00
23.00,9,C,153540,0.043900,0.1009,1.5949,0.13,0.23
23.00,9,P,9944,0.043900,-0.8980,0.0000,1.25,0.00
23.50,9,C,14768,0.040400,0.0942,1.6425,0.12,0.22
23.50,9,P,676,0.040400,-0.9047,0.0000,0.00,0.00
24.00,9,C,235035,0.037400,0.0882,1.6860,0.11,0.21
24.00,9,P,13374,0.037400,-0.9107,0.0000,0.00,0.00
24.50,9,C,6033,0.034800,0.0830,1.7255,0.10,0.20
24.50,9,P,24,0.034800,-0.9160,0.0000,7.55,0.00
25.00,9,C,302573,0.032400,0.0782,1.7877,0.10,0.20
25.00,9,P,7426,0.032400,-0.9207,0.0000,2.72,0.00
26.00,9,C,31385,0.028500,0.0701,1.8506,0.08,0.18
26.00,9,P,1809,0.028500,-0.9288,0.0000,1.25,0.00
27.00,9,C,39569,0.025200,0.0634,1.9303,0.07,0.17
27.00,9,P,190,0.025200,-0.9355,0.0000,0.00,0.00
28.00,9,C,91516,0.022600,0.0578,1.9835,0.06,0.15
28.00,9,P,132,0.022600,-0.9412,0.0000,0.00,0.00
29.00,9,C,35844,0.020400,0.0530,2.0627,0.05,0.15
29.00,9,P,1099,0.020400,-0.9460,0.0000,0.00,0.00
30.00,9,C,194687,0.018500,0.0489,2.0949,0.04,0.13
30.00,9,P,4406,0.018500,-0.9501,0.0000,3.30,0.00
31.00,9,C,28969,0.016900,0.0453,2.1599,0.03,0.13
31.00,9,P,40,0.016900,-0.9536,0.0000,0.00,0.00
32.00,9,C,34376,0.015500,0.0422,2.2194,0.03,0.12
32.00,9,P,7,0.015500,-0.9568,0.0000,0.00,0.00
33.00,9,C,38002,0.014300,0.0394,2.2473,0.02,0.11
33.00,9,P,28,0.014300,-0.9595,0.0000,0.00,0.00
34.00,9,C,18928,0.013200,0.0369,2.2943,0.02,0.10
34.00,9,P,14,0.013200,-0.9620,0.0000,0.00,0.00
35.00,9,C,175840,0.012300,0.0348,2.3357,0.01,0.10
35.00,9,P,591,0.012300,-0.9642,0.0000,0.00,0.00
36.00,9,C,27795,0.011500,0.0328,2.4044,0.01,0.10
36.00,9,P,70,0.011500,-0.9662,0.0000,0.00,0.00
37.00,9,C,39132,0.010700,0.0310,2.4374,0.01,0.09
37.00,9,P,9,0.010700,-0.9679,0.0000,0.00,0.00
38.00,9,C,17201,0.010100,0.0294,2.4648,0.00,0.09
38.00,9,P,79,0.010100,-0.9695,0.0000,0.00,0.00
39.00,9,C,1467,0.009500,0.0279,2.5258,0.00,0.09
39.00,9,P,50,0.009500,-0.9710,0.0000,0.00,0.00
40.00,9,C,105605,0.009000,0.0266,2.0246,0.00,0.01
40.00,9,P,35,0.009000,-0.9723,0.0000,0.00,0.00
