# spot,15.8400,ts,2026-08-18 22:17:44
strike,dte,cp,oi,gamma,delta,iv,bid,ask
10.00,1,C,4168,0.002800,0.9975,0.0000,5.50,6.30
10.00,1,P,878,0.002800,-0.0025,0.0000,0.00,0.01
10.50,1,C,19,0.003700,0.9970,5.0204,5.00,5.80
10.50,1,P,2,0.003700,-0.0030,8.3862,0.00,0.01
11.00,1,C,40,0.004800,0.9963,0.0000,4.50,5.30
11.00,1,P,83,0.004800,-0.0037,7.6668,0.00,0.01
11.50,1,C,9,0.006400,0.9956,0.0000,4.00,4.80
11.50,1,P,234,0.006400,-0.0044,6.9729,0.00,0.01
12.00,1,C,1542,0.008500,0.9946,7.5513,3.50,4.00
12.00,1,P,1481,0.008500,-0.0054,6.3005,0.00,0.01
12.50,1,C,59,0.011600,0.9934,8.1901,2.99,3.80
12.50,1,P,159,0.011600,-0.0066,3.5134,0.00,0.01
13.00,1,C,2475,0.016200,0.9918,0.0000,2.57,3.00
13.00,1,P,2638,0.016200,-0.0082,3.0466,0.00,0.01
13.50,1,C,1078,0.023500,0.9896,0.0000,2.07,2.50
13.50,1,P,2379,0.023500,-0.0103,2.1480,0.00,0.01
14.00,1,C,1433,0.036200,0.9866,0.0000,1.57,2.10
14.00,1,P,4362,0.036200,-0.0134,1.5494,0.00,0.01
14.50,1,C,6654,0.063100,0.9808,0.0000,1.07,1.50
14.50,1,P,71143,0.063100,-0.0192,1.0636,0.00,0.01
15.00,1,C,23871,0.212000,0.9186,0.0000,0.90,0.97
15.00,1,P,75912,0.212000,-0.0814,1.4169,0.01,0.03
15.50,1,C,8991,0.447200,0.7419,0.0000,0.50,0.52
15.50,1,P,48651,0.447200,-0.2581,1.0878,0.07,0.11
16.00,1,C,28002,0.553900,0.4793,0.8704,0.18,0.25
16.00,1,P,139451,0.553900,-0.5207,0.5116,0.26,0.32
16.50,1,C,31524,0.393800,0.2649,1.8145,0.07,0.10
16.50,1,P,83952,0.393800,-0.7351,0.0000,0.64,0.71
17.00,1,C,50281,0.243300,0.1469,1.3985,0.03,0.07
17.00,1,P,102964,0.243300,-0.8531,0.0000,1.10,1.17
17.50,1,C,13152,0.146600,0.0837,1.6932,0.02,0.03
17.50,1,P,75513,0.146600,-0.9163,0.0000,1.57,1.64
18.00,1,C,69712,0.092200,0.0527,2.2854,0.00,0.03
18.00,1,P,123153,0.092200,-0.9473,0.0000,2.07,2.13
18.50,1,C,68312,0.063500,0.0382,0.0000,0.01,0.03
18.50,1,P,81008,0.063500,-0.9618,0.0000,2.56,2.63
19.00,1,C,64074,0.047800,0.0309,7.6027,0.01,0.03
19.00,1,P,75983,0.047800,-0.9691,0.0000,3.05,3.15
19.50,1,C,44079,0.038200,0.0267,8.3534,0.01,0.04
19.50,1,P,52228,0.038200,-0.9733,0.0000,3.25,3.90
20.00,1,C,190900,0.031700,0.0239,2.5615,0.01,0.03
20.00,1,P,100251,0.031700,-0.9761,7.9793,4.00,4.10
20.50,1,C,18294,0.027000,0.0218,3.8275,0.01,0.02
20.50,1,P,1542,0.027000,-0.9782,0.0000,4.25,5.00
21.00,1,C,134158,0.023500,0.0201,4.1004,0.01,0.02
21.00,1,P,82033,0.023500,-0.9799,7.5778,4.85,5.50
21.50,1,C,16315,0.020600,0.0187,4.3073,0.00,0.02
21.50,1,P,1082,0.020700,-0.9813,7.6970,5.25,6.00
22.00,1,C,167424,0.018400,0.0175,4.5578,0.00,0.02
22.00,1,P,55612,0.018400,-0.9825,8.1504,5.75,6.50
22.50,1,C,32690,0.016500,0.0164,4.7381,0.00,0.02
22.50,1,P,707,0.016500,-0.9836,8.3520,6.25,7.05
23.00,1,C,152372,0.015000,0.0155,4.9697,0.00,0.01
23.00,1,P,24076,0.015000,-0.9845,5.2350,6.75,7.40
23.50,1,C,30577,0.013600,0.0147,5.1939,0.00,0.02
23.50,1,P,424,0.013600,-0.9853,0.0000,7.25,8.00
24.00,1,C,180964,0.012500,0.0140,4.6337,0.00,0.01
24.00,1,P,15748,0.012500,-0.9860,0.0000,7.75,8.50
24.50,1,C,2255,0.011500,0.0133,5.6215,0.00,0.02
24.50,1,P,69,0.011500,-0.9867,0.0000,8.25,9.00
25.00,1,C,177487,0.010700,0.0127,4.5488,0.00,0.02
25.00,1,P,18560,0.010700,-0.9873,5.3819,8.95,9.50
26.00,1,C,163918,0.009300,0.0116,6.1429,0.00,0.02
26.00,1,P,1393,0.009300,-0.9884,0.0000,9.75,10.50
27.00,1,C,65129,0.008100,0.0108,6.5119,0.00,0.02
27.00,1,P,229,0.008100,-0.9892,0.0000,10.30,11.95
28.00,1,C,89897,0.007200,0.0100,6.8628,0.00,0.01
28.00,1,P,798,0.007200,-0.9900,0.0000,11.30,13.00
29.00,1,C,95090,0.006500,0.0093,7.1978,0.00,0.01
29.00,1,P,691,0.006500,-0.9907,0.0000,12.30,13.95
30.00,1,C,165759,0.005900,0.0087,5.3756,0.00,0.01
30.00,1,P,595,0.005900,-0.9913,0.0000,13.30,14.95
31.00,1,C,41766,0.005400,0.0082,7.8235,0.00,0.01
31.00,1,P,428,0.005400,-0.9918,0.0000,14.30,15.95
32.00,1,C,19207,0.004900,0.0078,8.1170,0.00,0.02
32.00,1,P,815,0.004900,-0.9922,0.0000,15.30,16.95
33.00,1,C,15289,0.004500,0.0073,8.3989,0.00,0.02
33.00,1,P,20,0.004500,-0.9927,0.0000,16.30,17.95
34.00,1,C,10387,0.004200,0.0070,0.0000,0.00,0.01
34.00,1,P,6,0.004200,-0.9930,0.0000,17.30,18.95
35.00,1,C,133614,0.003900,0.0066,0.0000,0.00,0.02
35.00,1,P,673,0.003900,-0.9934,0.0000,18.30,19.95
36.00,1,C,17438,0.003600,0.0063,0.0000,0.00,0.01
36.00,1,P,6,0.003600,-0.9937,0.0000,19.30,20.95
37.00,1,C,37854,0.003400,0.0060,0.0000,0.00,0.02
37.00,1,P,10,0.003400,-0.9940,0.0000,20.30,22.00
38.00,1,C,38671,0.003200,0.0057,0.0000,0.00,0.02
38.00,1,P,3,0.003200,-0.9943,0.0000,21.30,23.00
39.00,1,C,16528,0.003000,0.0055,0.0000,0.00,0.02
39.00,1,P,6,0.003000,-0.9945,0.0000,22.20,24.05
40.00,1,C,101439,0.002800,0.0052,0.0000,0.00,0.01
40.00,1,P,295,0.002800,-0.9948,0.0000,23.20,25.05
42.50,1,C,60262,0.002400,0.0047,0.0000,0.00,0.02
45.00,1,C,52338,0.002200,0.0043,0.0000,0.00,0.02
45.00,1,P,162,0.002200,-0.9957,0.0000,28.20,30.00
47.50,1,C,91067,0.001900,0.0039,0.0000,0.00,0.02
47.50,1,P,3,0.001900,-0.9961,0.0000,30.70,32.50
50.00,1,C,158185,0.001700,0.0036,0.0000,0.00,0.01
50.00,1,P,50,0.001700,-0.9964,0.0000,33.20,35.00
55.00,1,C,107357,0.001400,0.0031,0.0000,0.00,0.02
60.00,1,C,86623,0.001200,0.0026,0.0000,0.00,0.02
60.00,1,P,15,0.001200,-0.9974,0.0000,43.05,45.20
65.00,1,C,104990,0.001000,0.0023,0.0000,0.00,0.02
65.00,1,P,155,0.001000,-0.9977,0.0000,48.15,50.20
70.00,1,C,61655,0.000800,0.0020,0.0000,0.00,0.01
70.00,1,P,2,0.000800,-0.9980,0.0000,53.10,55.20
75.00,1,C,44103,0.000700,0.0018,0.0000,0.00,0.01
80.00,1,C,51570,0.000600,0.0016,0.0000,0.00,0.01
80.00,1,P,66,0.000600,-0.9984,0.0000,63.10,65.20
85.00,1,C,91938,0.000600,0.0014,0.0000,0.00,0.01
90.00,1,C,39054,0.000500,0.0013,0.0000,0.00,0.02
95.00,1,C,25835,0.000400,0.0012,0.0000,0.00,0.01
100.00,1,C,27881,0.000400,0.0010,0.0000,0.00,0.01
100.00,1,P,121,0.000400,-0.9990,0.0000,83.10,85.20
110.00,1,C,2064,0.000300,0.0009,0.0000,0.00,0.02
110.00,1,P,3,0.000300,-0.9991,0.0000,93.10,95.20
120.00,1,C,9883,0.000300,0.0007,0.0000,0.00,0.02
120.00,1,P,2,0.000300,-0.9993,0.0000,103.05,105.20
130.00,1,C,3855,0.000200,0.0006,0.0000,0.00,0.02
130.00,1,P,754,0.000200,-0.9994,0.0000,113.05,115.20
140.00,1,C,6811,0.000200,0.0005,0.0000,0.00,0.01
140.00,1,P,390,0.000200,-0.9995,0.0000,123.05,125.20
150.00,1,C,28596,0.000200,0.0005,0.0000,0.00,0.02
150.00,1,P,14,0.000200,-0.9995,0.0000,133.05,135.20
160.00,1,C,1146,0.000100,0.0004,0.0000,0.00,0.02
170.00,1,C,22288,0.000100,0.0004,0.0000,0.00,0.02
180.00,1,C,7802,0.000100,0.0003,0.0000,0.00,0.02
180.00,1,P,1,0.000100,-0.9997,0.0000,163.05,165.15
190.00,1,C,5687,0.000100,0.0003,0.0000,0.00,0.02
200.00,1,C,7457,0.000100,0.0002,0.0000,0.00,0.01
200.00,1,P,51,0.000100,-0.9998,0.0000,183.05,185.15
10.00,29,C,248,0.003500,0.9909,1.0437,8.00,8.20
10.00,29,P,269,0.003500,-0.0056,0.9056,0.00,0.01
10.50,29,C,240,0.004500,0.9895,1.0668,7.50,7.75
10.50,29,P,2,0.004500,-0.0070,0.8381,0.00,0.02
11.00,29,C,372,0.005800,0.9878,0.9819,7.00,7.25
11.00,29,P,22,0.005800,-0.0087,0.7735,0.00,0.02
11.50,29,C,17,0.007400,0.9857,0.9008,6.50,6.75
11.50,29,P,2016,0.007400,-0.0108,0.7116,0.00,0.02
12.00,29,C,2247,0.009600,0.9830,0.8231,6.00,6.25
12.00,29,P,447,0.009600,-0.0136,0.8626,0.00,0.03
12.50,29,C,42,0.012600,0.9792,0.7485,5.65,5.75
12.50,29,P,100,0.012600,-0.0174,0.8030,0.00,0.03
13.00,29,C,2300,0.016800,0.9737,0.6767,5.15,5.25
13.00,29,P,4300,0.016800,-0.0229,0.7324,0.00,0.04
13.50,29,C,349,0.022900,0.9652,0.6076,4.70,4.80
13.50,29,P,520,0.022900,-0.0314,0.6842,0.02,0.03
14.00,29,C,1585,0.031800,0.9515,0.6411,4.20,4.30
14.00,29,P,34019,0.031800,-0.0451,0.5285,0.03,0.07
14.50,29,C,1435,0.044200,0.9293,0.6059,3.75,3.85
14.50,29,P,20342,0.044200,-0.0672,0.5950,0.07,0.10
15.00,29,C,5796,0.059400,0.8952,0.6181,3.30,3.40
15.00,29,P,49632,0.059400,-0.1013,0.5851,0.13,0.17
15.50,29,C,2153,0.075000,0.8485,0.6154,2.93,2.99
15.50,29,P,61926,0.075000,-0.1481,0.5948,0.23,0.27
16.00,29,C,18455,0.088100,0.7935,0.6645,2.57,2.63
16.00,29,P,188108,0.088100,-0.2030,0.6181,0.38,0.41
16.50,29,C,1024,0.097500,0.7346,0.6634,2.27,2.33
16.50,29,P,28038,0.097500,-0.2620,0.6509,0.56,0.61
17.00,29,C,8320,0.101800,0.6739,0.6904,2.02,2.08
17.00,29,P,198910,0.101800,-0.3227,0.6908,0.81,0.86
17.50,29,C,1220,0.101800,0.6163,0.7296,1.80,1.87
17.50,29,P,58541,0.101800,-0.3803,0.7308,1.09,1.15
18.00,29,C,59804,0.099300,0.5643,0.7692,1.67,1.69
18.00,29,P,156475,0.099300,-0.4323,0.7688,1.42,1.47
18.50,29,C,64466,0.095600,0.5181,0.8069,1.48,1.55
18.50,29,P,57378,0.095600,-0.4785,0.8098,1.77,1.83
19.00,29,C,92374,0.091200,0.4772,0.8844,1.35,1.42
19.00,29,P,157502,0.091200,-0.5193,0.8463,2.14,2.20
19.50,29,C,16973,0.086500,0.4411,0.8829,1.25,1.31
19.50,29,P,24870,0.086500,-0.5554,0.8851,2.53,2.59
20.00,29,C,264526,0.081900,0.4092,0.9225,1.18,1.22
20.00,29,P,153924,0.081900,-0.5873,0.9205,2.94,3.00
20.50,29,C,14876,0.077400,0.3810,0.9908,1.08,1.14
20.50,29,P,6066,0.077400,-0.6155,0.9640,3.35,3.45
21.00,29,C,70272,0.073100,0.3561,0.9886,1.02,1.07
21.00,29,P,18748,0.073100,-0.6405,0.9831,3.80,3.85
21.50,29,C,3062,0.069000,0.3339,1.0222,0.95,1.01
21.50,29,P,3335,0.069000,-0.6626,1.0229,4.20,4.30
22.00,29,C,134287,0.065200,0.3142,1.0565,0.91,0.96
22.00,29,P,41991,0.065200,-0.6824,1.0582,4.65,4.75
22.50,29,C,5967,0.061800,0.2965,1.0838,0.85,0.91
22.50,29,P,45,0.061800,-0.7001,1.0893,5.10,5.20
23.00,29,C,134489,0.058500,0.2806,1.1187,0.82,0.87
23.00,29,P,8380,0.058500,-0.7159,1.1166,5.55,5.65
23.50,29,C,11915,0.055500,0.2663,1.1474,0.78,0.83
23.50,29,P,677,0.055500,-0.7302,1.1403,6.00,6.10
24.00,29,C,244324,0.052800,0.2534,1.2005,0.76,0.78
24.00,29,P,13592,0.052800,-0.7432,1.1760,6.50,6.60
24.50,29,C,2459,0.050300,0.2415,1.2051,0.71,0.76
24.50,29,P,10,0.050300,-0.7550,1.2093,6.95,7.05
25.00,29,C,292356,0.047900,0.2307,1.2316,0.68,0.74
25.00,29,P,7315,0.047900,-0.7658,1.2402,7.40,7.50
26.00,29,C,26774,0.043800,0.2116,1.2844,0.63,0.69
26.00,29,P,1801,0.043800,-0.7850,1.2788,8.35,8.45
27.00,29,C,28040,0.040200,0.1951,1.3327,0.59,0.64
27.00,29,P,188,0.040200,-0.8014,1.2893,9.30,9.40
28.00,29,C,59014,0.037100,0.1808,1.3816,0.55,0.60
28.00,29,P,115,0.037100,-0.8157,1.3269,10.25,10.40
29.00,29,C,35720,0.034400,0.1683,1.4245,0.52,0.57
29.00,29,P,572,0.034400,-0.8283,1.4184,11.25,11.35
30.00,29,C,182038,0.032000,0.1571,1.4661,0.49,0.54
30.00,29,P,4523,0.032000,-0.8394,1.4666,12.20,12.30
31.00,29,C,32769,0.029800,0.1472,1.5199,0.46,0.51
31.00,29,P,40,0.029800,-0.8494,1.5107,13.15,13.30
32.00,29,C,33363,0.027900,0.1382,1.5353,0.43,0.48
32.00,29,P,7,0.027900,-0.8584,1.5286,14.15,14.25
33.00,29,C,20138,0.026200,0.1301,1.5727,0.41,0.45
33.00,29,P,29,0.026200,-0.8664,1.5874,15.10,15.20
34.00,29,C,15146,0.024700,0.1227,1.5970,0.38,0.42
34.00,29,P,14,0.024700,-0.8738,1.5965,16.10,16.20
35.00,29,C,135925,0.023300,0.1160,1.6275,0.36,0.41
35.00,29,P,36,0.023300,-0.8805,1.6505,17.05,17.15
36.00,29,C,17526,0.022000,0.1099,1.6550,0.34,0.39
36.00,29,P,9,0.022000,-0.8867,1.5960,18.05,18.15
37.00,29,C,28249,0.020800,0.1042,1.6849,0.33,0.37
37.00,29,P,9,0.020800,-0.8923,1.6454,19.00,19.10
38.00,29,C,13459,0.019800,0.0990,1.7067,0.31,0.35
38.00,29,P,2,0.019800,-0.8975,1.6325,20.00,20.10
39.00,29,C,1205,0.018800,0.0942,1.7316,0.29,0.33
40.00,29,C,161958,0.017900,0.0898,1.7543,0.28,0.32
40.00,29,P,31,0.017900,-0.9068,1.7545,21.95,22.05
42.50,29,C,26384,0.015900,0.0800,1.7977,0.24,0.28
45.00,29,C,161219,0.014200,0.0717,1.8418,0.22,0.25
45.00,29,P,423,0.014200,-0.9248,1.8602,26.85,26.95
47.50,29,C,10556,0.012800,0.0647,1.8908,0.19,0.22
47.50,29,P,77,0.012800,-0.9318,1.8762,29.35,29.45
50.00,29,C,97743,0.011600,0.0587,1.9314,0.17,0.20
50.00,29,P,25,0.011600,-0.9378,1.9651,31.80,31.90
55.00,29,C,104885,0.009700,0.0489,1.9884,0.13,0.17
55.00,29,P,1,0.009700,-0.9476,2.0424,36.75,36.85
60.00,29,C,76391,0.008200,0.0414,1.9972,0.11,0.15
60.00,29,P,16,0.008200,-0.9551,2.0939,41.70,41.80
65.00,29,C,251043,0.007000,0.0355,2.1908,0.09,0.13
70.00,29,C,95304,0.006100,0.0307,2.2239,0.08,0.11
75.00,29,C,32926,0.005300,0.0268,2.2520,0.06,0.10
80.00,29,C,35484,0.004700,0.0236,2.3154,0.05,0.08
80.00,29,P,1,0.004700,-0.9729,2.3879,61.60,61.70
85.00,29,C,33833,0.004200,0.0209,2.3720,0.04,0.08
90.00,29,C,23188,0.003700,0.0187,2.4409,0.03,0.07
90.00,29,P,3,0.003700,-0.9779,2.4852,71.55,71.65
95.00,29,C,28797,0.003400,0.0167,2.4867,0.02,0.06
100.00,29,C,25518,0.003000,0.0151,2.4613,0.03,0.05
100.00,29,P,69,0.003000,-0.9815,2.5564,81.45,81.85
110.00,29,C,10241,0.002500,0.0124,2.6166,0.02,0.04
110.00,29,P,55,0.002500,-0.9842,2.7040,91.40,91.80
120.00,29,C,22215,0.002100,0.0103,2.5535,0.02,0.04
120.00,29,P,107,0.002100,-0.9862,2.8397,101.40,101.75
130.00,29,C,10816,0.001800,0.0087,2.7832,0.01,0.03
130.00,29,P,102,0.001800,-0.9878,2.8747,111.35,111.70
140.00,29,C,20229,0.001500,0.0074,2.8405,0.01,0.03
140.00,29,P,120,0.001500,-0.9891,2.8921,121.30,121.70
150.00,29,C,27701,0.001300,0.0064,2.8285,0.00,0.03
150.00,29,P,1,0.001300,-0.9901,3.0117,131.30,131.65
160.00,29,C,720,0.001200,0.0056,2.9867,0.00,0.03
170.00,29,C,3294,0.001000,0.0049,3.0243,0.00,0.02
180.00,29,C,2762,0.000900,0.0043,3.0855,0.00,0.02
180.00,29,P,1,0.000900,-0.9923,2.6069,161.15,161.50
190.00,29,C,2060,0.000800,0.0038,3.1431,0.00,0.02
200.00,29,C,2440,0.000700,0.0034,3.1974,0.00,0.01
200.00,29,P,41,0.000700,-0.9932,3.3168,181.10,181.50
10.00,64,C,157,0.001700,0.9895,0.7628,9.55,9.80
10.00,64,P,284,0.001700,-0.0028,0.6770,0.00,0.02
10.50,64,P,22,0.002400,-0.0041,0.5845,0.00,0.01
11.00,64,C,52,0.003500,0.9863,0.6324,8.60,8.80
11.00,64,P,11,0.003500,-0.0061,0.7869,0.00,0.03
11.50,64,C,3,0.005000,0.9834,0.5696,8.05,8.30
11.50,64,P,206,0.005000,-0.0090,0.7346,0.00,0.03
12.00,64,C,77,0.007200,0.9791,0.6062,7.70,7.80
12.00,64,P,407,0.007200,-0.0133,0.6844,0.00,0.04
12.50,64,C,12,0.010100,0.9729,0.5520,7.20,7.30
12.50,64,P,319,0.010100,-0.0194,0.6446,0.01,0.05
13.00,64,C,1519,0.013800,0.9644,0.5576,6.70,6.80
13.00,64,P,12335,0.013800,-0.0279,0.4778,0.02,0.04
13.50,64,C,66,0.018400,0.9533,0.5072,6.25,6.35
13.50,64,P,678,0.018400,-0.0390,0.4800,0.04,0.07
14.00,64,C,1110,0.023700,0.9393,0.5324,5.75,5.90
14.00,64,P,1399,0.023700,-0.0530,0.4690,0.07,0.10
14.50,64,C,276,0.029800,0.9217,0.5354,5.30,5.45
14.50,64,P,4725,0.029800,-0.0707,0.5532,0.12,0.16
15.00,64,C,6633,0.036900,0.8962,0.5975,4.90,5.00
15.00,64,P,17225,0.036900,-0.0962,0.5730,0.20,0.23
16.00,64,C,3542,0.049900,0.8272,0.6076,4.15,4.25
16.00,64,P,127185,0.049900,-0.1651,0.5710,0.44,0.49
17.00,64,C,3925,0.058600,0.7520,0.6431,3.55,3.65
17.00,64,P,97561,0.058600,-0.2404,0.6367,0.83,0.88
18.00,64,C,6800,0.062500,0.6764,0.6844,3.10,3.20
18.00,64,P,55341,0.062500,-0.3159,0.7020,1.35,1.40
19.00,64,C,10104,0.062700,0.6076,0.7375,2.72,2.80
