# spot,16.0100,ts,2026-08-20 22:20:44
strike,dte,cp,oi,gamma,delta,iv,bid,ask
10.00,27,C,3966,0.003600,0.9915,1.0252,7.65,7.95
10.00,27,P,269,0.003600,-0.0052,0.9059,0.00,0.01
10.50,27,C,240,0.004800,0.9899,0.9378,7.15,7.45
10.50,27,P,2,0.004800,-0.0069,0.8356,0.00,0.01
11.00,27,C,372,0.006400,0.9879,0.8545,6.65,6.95
11.00,27,P,22,0.006400,-0.0089,0.7684,0.00,0.01
11.50,27,C,17,0.008400,0.9853,0.7750,6.20,6.45
11.50,27,P,2016,0.008400,-0.0115,0.7038,0.00,0.01
12.00,27,C,2241,0.011200,0.9819,0.6990,5.70,5.95
12.00,27,P,563,0.011200,-0.0149,0.8082,0.00,0.01
12.50,27,C,42,0.014900,0.9773,0.6261,5.20,5.45
12.50,27,P,115,0.014900,-0.0194,0.7505,0.00,0.03
13.00,27,C,2259,0.020100,0.9708,0.7166,4.75,4.85
13.00,27,P,4300,0.020100,-0.0260,0.6361,0.00,0.03
13.50,27,C,347,0.027700,0.9610,0.6413,4.30,4.40
13.50,27,P,544,0.027700,-0.0358,0.5847,0.01,0.03
14.00,27,C,1542,0.038600,0.9452,0.5682,3.80,3.90
14.00,27,P,34377,0.038600,-0.0516,0.5064,0.03,0.05
14.50,27,C,1413,0.053900,0.9194,0.5751,3.35,3.45
14.50,27,P,20344,0.053900,-0.0774,0.5813,0.06,0.08
15.00,27,C,5968,0.072500,0.8792,0.6319,2.93,2.97
15.00,27,P,56156,0.072500,-0.1176,0.5636,0.13,0.15
15.50,27,C,2221,0.090600,0.8250,0.5957,2.54,2.61
15.50,27,P,70830,0.090600,-0.1718,0.5734,0.24,0.28
16.00,27,C,24013,0.104900,0.7623,0.5454,2.20,2.26
16.00,27,P,196584,0.104900,-0.2345,0.6243,0.40,0.43
16.50,27,C,1019,0.113400,0.6953,0.6126,1.93,1.99
16.50,27,P,30849,0.113400,-0.3015,0.6342,0.61,0.67
17.00,27,C,15431,0.115200,0.6292,0.6477,1.69,1.76
17.00,27,P,197451,0.115200,-0.3676,0.6741,0.88,0.94
17.50,27,C,6388,0.112400,0.5690,0.7358,1.50,1.57
17.50,27,P,63565,0.112400,-0.4278,0.7194,1.20,1.26
18.00,27,C,69460,0.107200,0.5164,0.7808,1.35,1.43
18.00,27,P,163106,0.107200,-0.4804,0.7629,1.55,1.60
