# spot,14.2500,ts,2026-08-14 22:16:45
strike,dte,cp,oi,gamma,delta,iv,bid,ask
10.00,5,C,4177,0.004800,0.9951,2.2578,5.50,5.75
10.00,5,P,878,0.004800,-0.0046,1.6003,0.00,0.01
10.50,5,C,19,0.006300,0.9941,1.8189,4.95,5.25
10.50,5,P,2,0.006300,-0.0056,1.4405,0.00,0.01
11.00,5,C,40,0.008200,0.9928,1.6312,4.45,4.75
11.00,5,P,83,0.008200,-0.0068,1.2872,0.00,0.01
11.50,5,C,9,0.011000,0.9914,1.4504,3.95,4.20
11.50,5,P,234,0.011000,-0.0083,1.1396,0.00,0.01
12.00,5,C,1541,0.014800,0.9894,1.2756,3.50,3.70
12.00,5,P,1481,0.014800,-0.0102,0.9970,0.00,0.01
12.50,5,C,59,0.020600,0.9869,1.1425,3.00,3.20
12.50,5,P,159,0.020600,-0.0128,0.9447,0.00,0.02
13.00,5,C,2543,0.030200,0.9828,0.9400,2.50,2.70
13.00,5,P,2638,0.030200,-0.0169,0.8962,0.00,0.02
13.50,5,C,1085,0.049600,0.9742,0.7774,2.10,2.16
13.50,5,P,2380,0.049600,-0.0254,0.7728,0.00,0.03
14.00,5,C,1510,0.094200,0.9522,0.7228,1.61,1.67
14.00,5,P,4175,0.094200,-0.0474,0.5856,0.01,0.03
14.50,5,C,6641,0.192300,0.8905,0.5576,1.15,1.20
14.50,5,P,17991,0.192300,-0.1091,0.4730,0.05,0.06
15.00,5,C,8901,0.327000,0.7565,0.6836,0.74,0.80
15.00,5,P,68933,0.327000,-0.2432,0.4906,0.12,0.16
15.50,5,C,3041,0.384900,0.5616,0.5098,0.46,0.51
15.50,5,P,52363,0.384900,-0.4381,0.4523,0.33,0.36
16.00,5,C,16350,0.322700,0.3927,0.7502,0.30,0.34
16.00,5,P,151316,0.322700,-0.6069,0.6036,0.67,0.71
16.50,5,C,31622,0.247700,0.2806,0.8399,0.21,0.25
16.50,5,P,93851,0.247700,-0.7191,0.6980,1.08,1.13
17.00,5,C,46510,0.187800,0.2078,0.8092,0.16,0.19
17.00,5,P,106126,0.187800,-0.7919,0.8306,1.52,1.58
17.50,5,C,10298,0.144200,0.1603,1.0081,0.11,0.15
17.50,5,P,80100,0.144200,-0.8394,0.9300,1.98,2.05
18.00,5,C,61802,0.113200,0.1285,1.1275,0.11,0.13
18.00,5,P,130137,0.113200,-0.8711,1.0125,2.46,2.51
18.50,5,C,69107,0.091200,0.1065,1.2168,0.08,0.12
18.50,5,P,81023,0.091200,-0.8931,1.0499,2.94,3.00
19.00,5,C,62857,0.075100,0.0906,1.1475,0.07,0.10
19.00,5,P,77796,0.075100,-0.9090,1.1902,3.40,3.50
19.50,5,C,43518,0.063000,0.0787,1.3395,0.06,0.09
19.50,5,P,52229,0.063000,-0.9210,1.3070,3.90,4.00
20.00,5,C,191953,0.053900,0.0695,1.4519,0.05,0.09
20.00,5,P,100275,0.053900,-0.9302,1.3061,4.40,4.50
20.50,5,C,18275,0.046700,0.0621,1.4733,0.05,0.08
20.50,5,P,1546,0.046700,-0.9375,1.4078,4.90,5.00
21.00,5,C,139813,0.041000,0.0562,1.5730,0.05,0.08
21.00,5,P,82087,0.041000,-0.9434,1.6280,5.35,5.50
21.50,5,C,16321,0.036300,0.0514,1.6163,0.04,0.07
21.50,5,P,1094,0.036300,-0.9483,1.7268,5.85,5.95
22.00,5,C,167546,0.032500,0.0473,1.7070,0.04,0.07
22.00,5,P,55635,0.032500,-0.9524,1.9316,6.35,6.45
22.50,5,C,32693,0.029400,0.0438,1.7320,0.04,0.06
22.50,5,P,712,0.029400,-0.9558,2.0269,6.85,6.95
23.00,5,C,162273,0.026700,0.0409,1.8480,0.04,0.06
23.00,5,P,24091,0.026700,-0.9588,1.6778,7.35,7.45
23.50,5,C,30577,0.024400,0.0383,1.9291,0.04,0.06
23.50,5,P,427,0.024400,-0.9614,2.2083,7.85,7.95
24.00,5,C,172783,0.022500,0.0360,2.0079,0.03,0.06
24.00,5,P,15748,0.022500,-0.9636,2.2948,8.35,8.45
24.50,5,C,2153,0.020800,0.0341,2.0843,0.04,0.06
24.50,5,P,69,0.020800,-0.9656,2.3788,8.85,8.95
25.00,5,C,175208,0.019300,0.0323,2.1218,0.04,0.06
25.00,5,P,18587,0.019300,-0.9674,2.4604,9.35,9.45
26.00,5,C,165902,0.016800,0.0293,2.2629,0.04,0.05
26.00,5,P,1393,0.016800,-0.9704,2.4866,10.35,10.45
27.00,5,C,64248,0.014900,0.0268,2.3540,0.02,0.05
27.00,5,P,229,0.014900,-0.9729,2.2468,11.30,11.65
28.00,5,C,90801,0.013300,0.0247,2.4324,0.01,0.04
28.00,5,P,809,0.013300,-0.9750,1.8980,12.30,12.65
29.00,5,C,96376,0.012000,0.0229,2.5511,0.01,0.04
29.00,5,P,691,0.012000,-0.9768,2.4937,13.30,13.65
30.00,5,C,165887,0.010800,0.0213,2.6647,0.01,0.04
30.00,5,P,595,0.010800,-0.9783,2.6097,14.30,14.60
