# spot,15.2000,ts,2026-09-02 23:47:50
strike,dte,cp,oi,gamma,delta,iv,bid,ask
10.00,14,C,3985,0.003600,0.9943,1.1504,6.45,6.65
10.00,14,P,268,0.003600,-0.0040,1.0489,0.00,0.01
10.50,14,C,240,0.004700,0.9933,1.0392,5.95,6.15
10.50,14,P,2,0.004700,-0.0051,1.0404,0.00,0.01
11.00,14,C,365,0.006300,0.9919,0.9334,5.45,5.65
11.00,14,P,22,0.006300,-0.0064,0.9452,0.00,0.01
11.50,14,C,22,0.008600,0.9900,0.8323,4.95,5.15
11.50,14,P,2021,0.008600,-0.0084,0.8537,0.00,0.01
12.00,14,C,2137,0.011900,0.9872,0.7356,4.45,4.65
12.00,14,P,576,0.011900,-0.0111,0.8473,0.00,0.01
12.50,14,C,44,0.016800,0.9832,0.8155,3.90,4.15
12.50,14,P,120,0.016800,-0.0151,0.7547,0.00,0.02
13.00,14,C,2271,0.024400,0.9772,0.7163,3.50,3.60
13.00,14,P,4571,0.024400,-0.0212,0.5973,0.00,0.02
13.50,14,C,402,0.036700,0.9669,0.6560,3.00,3.10
13.50,14,P,1036,0.036700,-0.0314,0.5768,0.00,0.04
14.00,14,C,2183,0.058300,0.9466,0.5431,2.53,2.59
14.00,14,P,34447,0.058300,-0.0518,0.5112,0.02,0.05
14.50,14,C,1739,0.092700,0.9056,0.5609,2.06,2.12
14.50,14,P,20380,0.092700,-0.0928,0.5149,0.05,0.08
15.00,14,C,8265,0.133500,0.8363,0.6045,1.65,1.70
15.00,14,P,82401,0.133500,-0.1620,0.5514,0.13,0.15
15.50,14,C,2502,0.165400,0.7437,0.5798,1.31,1.37
15.50,14,P,98015,0.165400,-0.2547,0.5783,0.29,0.33
16.00,14,C,31364,0.180200,0.6436,0.6315,1.05,1.12
16.00,14,P,259662,0.180200,-0.3548,0.6392,0.54,0.58
16.50,14,C,39575,0.175400,0.5485,0.7057,0.90,0.94
16.50,14,P,80085,0.175400,-0.4498,0.7058,0.85,0.90
17.00,14,C,54795,0.158700,0.4707,0.7724,0.76,0.82
17.00,14,P,279307,0.158700,-0.5276,0.7810,1.22,1.27
17.50,14,C,55449,0.141200,0.4100,0.8543,0.67,0.72
17.50,14,P,99464,0.141200,-0.5883,0.8557,1.63,1.70
18.00,14,C,155544,0.125700,0.3618,0.9196,0.60,0.66
18.00,14,P,166607,0.125700,-0.6365,0.9260,2.06,2.14
18.50,14,C,71955,0.112400,0.3226,0.9898,0.55,0.60
18.50,14,P,63008,0.112400,-0.6758,0.9929,2.50,2.58
19.00,14,C,121411,0.101100,0.2899,1.0700,0.50,0.55
19.00,14,P,155993,0.101100,-0.7084,1.0558,2.95,3.05
19.50,14,C,23912,0.091400,0.2623,1.1270,0.46,0.51
19.50,14,P,24703,0.091400,-0.7361,1.1034,3.40,3.50
20.00,14,C,351106,0.083000,0.2386,1.1796,0.43,0.47
20.00,14,P,158919,0.083000,-0.7598,1.1456,3.85,3.95
20.50,14,C,17577,0.075700,0.2180,1.2191,0.39,0.42
20.50,14,P,5306,0.075700,-0.7803,1.2052,4.30,4.45
21.00,14,C,149017,0.069400,0.2001,1.2832,0.36,0.40
21.00,14,P,18626,0.069400,-0.7982,1.2308,4.80,4.90
21.50,14,C,9984,0.063800,0.1843,1.3200,0.33,0.37
21.50,14,P,3433,0.063800,-0.8140,1.2474,5.25,5.35
22.00,14,C,161441,0.058800,0.1704,1.4037,0.31,0.35
22.00,14,P,42022,0.058800,-0.8280,1.2871,5.70,5.85
22.50,14,C,8484,0.054400,0.1580,1.4308,0.28,0.32
22.50,14,P,75,0.054400,-0.8404,1.2868,6.20,6.30
23.00,14,C,157334,0.050500,0.1469,1.4648,0.26,0.30
23.00,14,P,9947,0.050500,-0.8514,1.3506,6.70,6.80
23.50,14,C,12769,0.047000,0.1369,1.4942,0.24,0.28
23.50,14,P,676,0.047000,-0.8614,1.3745,7.15,7.25
24.00,14,C,237834,0.043800,0.1280,1.5118,0.22,0.27
24.00,14,P,13372,0.043800,-0.8703,1.3930,7.65,7.75
24.50,14,C,4788,0.040900,0.1200,1.5542,0.21,0.25
24.50,14,P,26,0.040900,-0.8783,1.4491,8.15,8.25
25.00,14,C,300382,0.038300,0.1127,1.5784,0.21,0.24
25.00,14,P,7421,0.038300,-0.8856,1.4124,8.60,8.75
26.00,14,C,29541,0.033900,0.1001,1.6410,0.17,0.21
