# spot,14.8700,ts,2026-09-22 00:19:18
strike,dte,cp,oi,gamma,delta,iv,bid,ask
10.00,29,C,3917,0.003500,0.9911,0.0000,7.75,8.10
10.00,29,P,284,0.003500,-0.0052,0.8660,0.00,0.01
10.50,29,C,17,0.004500,0.9898,0.0000,7.25,7.60
10.50,29,P,22,0.004500,-0.0065,0.7994,0.00,0.01
11.00,29,C,32,0.006000,0.9879,0.0000,6.75,7.10
11.00,29,P,11,0.006000,-0.0084,0.9192,0.00,0.01
11.50,29,C,96,0.008200,0.9850,0.0000,6.25,6.60
11.50,29,P,205,0.008200,-0.0113,0.7676,0.00,0.01
12.00,29,C,2088,0.011200,0.9809,0.0000,5.75,6.10
12.00,29,P,982,0.011200,-0.0155,0.7750,0.00,0.01
12.50,29,C,18,0.015500,0.9749,0.0000,5.25,5.60
12.50,29,P,1285,0.015500,-0.0214,0.7066,0.00,0.01
13.00,29,C,1621,0.021200,0.9668,0.0000,4.75,5.10
13.00,29,P,20278,0.021200,-0.0296,0.5956,0.00,0.02
13.50,29,C,869,0.028800,0.9558,0.0000,4.25,4.60
13.50,29,P,4361,0.028800,-0.0405,0.5348,0.00,0.02
14.00,29,C,1452,0.038500,0.9414,0.0000,3.85,3.95
14.00,29,P,10234,0.038500,-0.0549,0.5016,0.02,0.04
14.50,29,C,1263,0.051100,0.9230,0.3571,3.40,3.45
14.50,29,P,6551,0.051100,-0.0734,0.4618,0.04,0.07
15.00,29,C,10105,0.067200,0.8988,0.5709,2.94,3.00
15.00,29,P,49779,0.067200,-0.0976,0.5032,0.09,0.12
15.50,29,C,8138,0.087900,0.8575,0.5393,2.54,2.59
15.50,29,P,71252,0.087900,-0.1389,0.4622,0.18,0.21
16.00,29,C,15998,0.106500,0.7890,0.5183,2.23,2.26
16.00,29,P,210488,0.106500,-0.2073,0.5448,0.34,0.38
16.50,29,C,922,0.115200,0.7129,0.5132,1.95,2.00
16.50,29,P,85860,0.115200,-0.2834,0.5550,0.57,0.60
17.00,29,C,10351,0.115200,0.6416,0.6388,1.73,1.79
17.00,29,P,205104,0.115200,-0.3547,0.6269,0.86,0.90
17.50,29,C,27065,0.111000,0.5800,0.6765,1.56,1.62
17.50,29,P,54553,0.111000,-0.4164,0.6786,1.18,1.23
18.00,29,C,56563,0.105300,0.5274,0.7839,1.42,1.48
18.00,29,P,141331,0.105300,-0.4689,0.6954,1.54,1.59
18.50,29,C,83891,0.099300,0.4823,0.8253,1.30,1.37
18.50,29,P,78896,0.099300,-0.5140,0.7354,1.92,1.97
19.00,29,C,132335,0.093500,0.4430,0.8285,1.20,1.26
19.00,29,P,107253,0.093500,-0.5534,0.7785,2.32,2.37
19.50,29,C,11721,0.087900,0.4084,0.8545,1.13,1.17
19.50,29,P,15506,0.087900,-0.5879,0.8070,2.73,2.78
20.00,29,C,327270,0.082700,0.3779,0.9262,1.03,1.09
20.00,29,P,93131,0.082700,-0.6185,0.8450,3.10,3.20
20.50,29,C,9600,0.077800,0.3507,0.9215,0.95,1.01
20.50,29,P,13088,0.077800,-0.6456,0.8572,3.55,3.65
21.00,29,C,123766,0.073200,0.3265,0.9904,0.89,0.95
21.00,29,P,44652,0.073200,-0.6698,0.8954,4.00,4.10
21.50,29,C,12846,0.069000,0.3049,0.9834,0.83,0.89
21.50,29,P,2247,0.069000,-0.6914,0.9140,4.40,4.50
22.00,29,C,166838,0.065000,0.2855,1.0502,0.78,0.83
22.00,29,P,13162,0.065000,-0.7108,0.9421,4.85,4.95
22.50,29,C,15611,0.061400,0.2681,1.0349,0.73,0.78
22.50,29,P,58,0.061400,-0.7282,0.9658,5.30,5.40
23.00,29,C,93148,0.058000,0.2524,1.0622,0.69,0.74
23.00,29,P,15265,0.058000,-0.7439,0.9853,5.75,5.85
23.50,29,C,9251,0.054900,0.2382,1.1336,0.65,0.71
23.50,29,P,98,0.054900,-0.7581,1.0007,6.25,6.35
24.00,29,C,162625,0.052000,0.2254,1.1101,0.62,0.67
24.00,29,P,2625,0.052000,-0.7709,1.0119,6.70,6.80
24.50,29,C,3740,0.049400,0.2138,1.1346,0.59,0.64
24.50,29,P,2,0.049400,-0.7825,1.0380,7.15,7.25
25.00,29,C,233174,0.046900,0.2032,1.2086,0.56,0.62
25.00,29,P,18197,0.046900,-0.7931,1.0616,7.65,7.75
26.00,29,C,47269,0.042600,0.1847,1.1969,0.51,0.57
26.00,29,P,1639,0.042600,-0.8116,1.1820,8.60,8.70
27.00,29,C,66418,0.038800,0.1692,1.2363,0.47,0.52
27.00,29,P,71,0.038800,-0.8272,1.2193,9.55,9.65
28.00,29,C,208752,0.035600,0.1559,1.2767,0.43,0.49
28.00,29,P,22,0.035600,-0.8404,1.2487,10.50,10.60
29.00,29,C,97101,0.032800,0.1445,1.3108,0.40,0.44
29.00,29,P,576,0.032800,-0.8518,1.2938,11.45,11.55
30.00,29,C,352124,0.030400,0.1346,1.4220,0.38,0.42
30.00,29,P,1982,0.030400,-0.8617,1.3342,12.45,12.55
31.00,29,C,31294,0.028300,0.1259,1.3558,0.35,0.40
31.00,29,P,21,0.028300,-0.8704,1.3440,13.40,13.50
32.00,29,C,40542,0.026400,0.1182,1.4155,0.33,0.38
32.00,29,P,31,0.026400,-0.8782,1.4021,14.40,14.50
33.00,29,C,18881,0.024700,0.1112,1.4511,0.31,0.36
33.00,29,P,2,0.024700,-0.8851,1.4299,15.35,15.45
34.00,29,C,33024,0.023200,0.1050,1.4835,0.30,0.34
34.00,29,P,64,0.023200,-0.8913,1.4537,16.35,16.45
35.00,29,C,209204,0.021800,0.0994,1.5130,0.28,0.31
35.00,29,P,81,0.021800,-0.8969,1.5051,17.30,17.40
36.00,29,C,30763,0.020600,0.0943,1.5395,0.26,0.31
36.00,29,P,62,0.020600,-0.9020,1.4894,18.30,18.40
37.00,29,C,53845,0.019500,0.0896,1.5893,0.25,0.29
37.00,29,P,2,0.019500,-0.9067,1.5372,19.25,19.35
38.00,29,C,23919,0.018500,0.0853,1.6181,0.24,0.28
39.00,29,C,7851,0.017600,0.0814,1.6449,0.22,0.27
39.00,29,P,404,0.017600,-0.9150,1.5922,21.25,21.35
40.00,29,C,265024,0.016700,0.0777,1.6625,0.22,0.25
40.00,29,P,322,0.016700,-0.9186,1.5968,22.25,22.35
42.50,29,C,54327,0.014800,0.0697,1.7310,0.19,0.23
45.00,29,C,118566,0.013300,0.0629,1.7739,0.16,0.20
45.00,29,P,175,0.013300,-0.9334,1.7111,27.15,27.25
47.50,29,C,22309,0.012000,0.0572,1.8150,0.14,0.18
47.50,29,P,153,0.012000,-0.9392,1.7545,29.65,29.75
50.00,29,C,242754,0.010900,0.0522,1.8572,0.13,0.17
50.00,29,P,133,0.010900,-0.9441,1.7891,32.10,32.20
55.00,29,C,80635,0.009200,0.0442,1.9972,0.10,0.14
55.00,29,P,487,0.009200,-0.9521,1.8310,37.05,37.15
60.00,29,C,271296,0.007800,0.0380,1.9655,0.08,0.11
60.00,29,P,45,0.007800,-0.9584,1.9206,42.00,42.10
65.00,29,C,58597,0.006800,0.0330,2.1228,0.06,0.10
65.00,29,P,2,0.006800,-0.9633,1.8954,47.00,47.10
70.00,29,C,111647,0.005900,0.0290,2.0918,0.05,0.08
70.00,29,P,146,0.005900,-0.9673,1.7687,51.95,52.05
75.00,29,C,12537,0.005200,0.0257,2.1560,0.04,0.07
80.00,29,C,49237,0.004600,0.0229,2.2122,0.03,0.06
80.00,29,P,92,0.004600,-0.9734,1.6794,61.90,62.00
