# spot,15.7200,ts,2026-09-08 23:47:50
strike,dte,cp,oi,gamma,delta,iv,bid,ask
10.00,8,C,3980,0.003600,0.9949,1.4554,6.55,6.75
10.00,8,P,268,0.003600,-0.0042,1.4062,0.00,0.01
10.50,8,C,240,0.004600,0.9940,1.3167,6.05,6.25
10.50,8,P,2,0.004600,-0.0050,1.2828,0.00,0.01
11.00,8,C,365,0.006000,0.9929,1.1846,5.55,5.75
11.00,8,P,25,0.006000,-0.0061,1.1647,0.00,0.01
11.50,8,C,27,0.007900,0.9915,1.0586,5.05,5.25
11.50,8,P,2021,0.007900,-0.0075,1.0512,0.00,0.01
12.00,8,C,2132,0.010500,0.9896,0.9379,4.55,4.75
12.00,8,P,561,0.010500,-0.0095,1.1803,0.00,0.01
12.50,8,C,45,0.014500,0.9866,0.0000,4.05,4.25
12.50,8,P,120,0.014500,-0.0124,1.0532,0.00,0.02
13.00,8,C,2274,0.021500,0.9813,0.7112,3.55,3.75
13.00,8,P,4571,0.021500,-0.0178,0.9298,0.00,0.02
13.50,8,C,444,0.034100,0.9705,0.7673,3.10,3.20
13.50,8,P,1103,0.034100,-0.0285,0.8852,0.00,0.02
14.00,8,C,2479,0.055600,0.9501,0.6510,2.61,2.68
14.00,8,P,35268,0.055600,-0.0490,0.7589,0.01,0.03
14.50,8,C,2413,0.087700,0.9152,0.6062,2.14,2.20
14.50,8,P,34740,0.087700,-0.0838,0.7639,0.03,0.05
15.00,8,C,10028,0.129700,0.8621,0.5160,1.68,1.75
15.00,8,P,95898,0.129700,-0.1369,0.7033,0.08,0.10
15.50,8,C,7447,0.178200,0.7857,0.5522,1.28,1.35
15.50,8,P,94128,0.178200,-0.2133,0.6494,0.16,0.21
16.00,8,C,49350,0.211300,0.6750,0.6742,0.99,1.04
16.00,8,P,244031,0.211300,-0.3241,0.7077,0.35,0.40
16.50,8,C,52258,0.210800,0.5592,0.7445,0.77,0.83
16.50,8,P,119102,0.210800,-0.4398,0.7806,0.64,0.69
17.00,8,C,69692,0.193100,0.4621,0.8341,0.63,0.67
17.00,8,P,284554,0.193100,-0.5370,0.8756,0.98,1.04
17.50,8,C,63487,0.169200,0.3867,0.8924,0.53,0.58
17.50,8,P,98648,0.169200,-0.6123,0.9524,1.38,1.44
18.00,8,C,107081,0.146400,0.3297,1.0104,0.46,0.51
18.00,8,P,166834,0.146400,-0.6694,1.0400,1.81,1.87
18.50,8,C,70380,0.127000,0.2857,1.0888,0.40,0.45
18.50,8,P,61317,0.127000,-0.7134,1.1269,2.25,2.32
19.00,8,C,130897,0.111000,0.2506,1.1600,0.35,0.41
19.00,8,P,166730,0.111000,-0.7485,1.1885,2.70,2.77
19.50,8,C,24041,0.097800,0.2218,1.2425,0.32,0.37
19.50,8,P,24758,0.097800,-0.7773,1.2528,3.15,3.25
20.00,8,C,324597,0.086800,0.1975,1.3208,0.29,0.34
20.00,8,P,158853,0.086800,-0.8016,1.3689,3.60,3.75
20.50,8,C,17635,0.077500,0.1767,1.3652,0.26,0.31
20.50,8,P,5306,0.077500,-0.8224,1.4410,4.10,4.20
21.00,8,C,143025,0.069500,0.1587,1.4228,0.24,0.28
21.00,8,P,18617,0.069500,-0.8404,1.5044,4.55,4.65
21.50,8,C,9908,0.062600,0.1429,1.4807,0.21,0.26
21.50,8,P,3433,0.062600,-0.8561,1.5596,5.05,5.15
22.00,8,C,151266,0.056600,0.1291,1.5111,0.20,0.22
22.00,8,P,42025,0.056600,-0.8699,1.6067,5.50,5.65
22.50,8,C,8515,0.051300,0.1171,1.5740,0.18,0.22
22.50,8,P,74,0.051300,-0.8820,1.6942,6.00,6.10
23.00,8,C,153540,0.046600,0.1065,1.6209,0.16,0.20
23.00,8,P,9944,0.046600,-0.8925,1.6773,6.50,6.60
23.50,8,C,14768,0.042600,0.0973,1.6620,0.14,0.19
23.50,8,P,676,0.042600,-0.9018,1.7562,6.95,7.10
24.00,8,C,235035,0.039000,0.0893,1.7099,0.14,0.16
24.00,8,P,13374,0.039000,-0.9098,1.7753,7.45,7.55
24.50,8,C,6033,0.035800,0.0823,1.7534,0.12,0.16
24.50,8,P,24,0.035800,-0.9168,1.8481,7.95,8.05
25.00,8,C,302573,0.033000,0.0762,1.7926,0.11,0.15
25.00,8,P,7426,0.033000,-0.9229,1.9187,8.45,8.55
26.00,8,C,31385,0.028400,0.0662,1.8581,0.10,0.14
26.00,8,P,1809,0.028400,-0.9329,1.9160,9.40,9.50
27.00,8,C,39569,0.024700,0.0584,1.9418,0.08,0.13
27.00,8,P,190,0.024700,-0.9406,2.0396,10.40,10.50
28.00,8,C,91516,0.021800,0.0523,1.9953,0.07,0.11
28.00,8,P,132,0.021800,-0.9468,2.1571,11.40,11.50
29.00,8,C,35844,0.019400,0.0472,2.0562,0.06,0.10
29.00,8,P,1099,0.019400,-0.9519,2.1826,12.40,12.50
30.00,8,C,194687,0.017400,0.0429,2.1308,0.07,0.09
30.00,8,P,4406,0.017400,-0.9562,2.1870,13.40,13.50
31.00,8,C,28969,0.015700,0.0392,2.1988,0.05,0.09
31.00,8,P,40,0.015700,-0.9599,2.2858,14.35,14.45
32.00,8,C,34376,0.014200,0.0359,2.2324,0.04,0.08
32.00,8,P,7,0.014200,-0.9631,2.3809,15.35,15.45
33.00,8,C,38002,0.012900,0.0331,2.3161,0.04,0.08
33.00,8,P,28,0.012900,-0.9659,2.4725,16.35,16.45
34.00,8,C,18928,0.011800,0.0306,2.3325,0.03,0.07
34.00,8,P,14,0.011800,-0.9684,2.5608,17.35,17.45
35.00,8,C,175840,0.010900,0.0285,2.4087,0.03,0.07
35.00,8,P,591,0.010900,-0.9706,2.6463,18.35,18.45
36.00,8,C,27795,0.010100,0.0266,2.4822,0.03,0.06
36.00,8,P,70,0.010100,-0.9725,2.5978,19.35,19.45
37.00,8,C,39132,0.009400,0.0249,2.4757,0.02,0.06
37.00,8,P,9,0.009400,-0.9741,2.5085,20.35,20.45
38.00,8,C,17201,0.008700,0.0235,2.5430,0.02,0.06
38.00,8,P,79,0.008700,-0.9756,2.5840,21.35,21.45
39.00,8,C,1467,0.008200,0.0222,2.6081,0.02,0.05
39.00,8,P,50,0.008200,-0.9768,2.6574,22.35,22.45
40.00,8,C,105605,0.007700,0.0211,2.6252,0.03,0.04
40.00,8,P,35,0.007700,-0.9779,2.7289,23.35,23.45
42.50,8,C,49176,0.006700,0.0188,2.7206,0.01,0.05
42.50,8,P,430,0.006700,-0.9802,2.9001,25.80,25.95
45.00,8,C,72204,0.005900,0.0171,3.0479,0.00,0.04
45.00,8,P,256,0.005900,-0.9819,3.0614,28.20,28.50
47.50,8,C,19336,0.005300,0.0157,2.9211,0.01,0.04
47.50,8,P,79,0.005300,-0.9833,3.2141,30.70,31.00
50.00,8,C,97914,0.004800,0.0146,3.0392,0.01,0.04
50.00,8,P,42,0.004800,-0.9844,3.3590,33.20,33.50
55.00,8,C,73487,0.004100,0.0128,3.4889,0.00,0.03
55.00,8,P,1,0.004100,-0.9862,3.6288,38.20,38.50
60.00,8,C,91297,0.003500,0.0115,3.3692,0.00,0.03
60.00,8,P,16,0.003500,-0.9876,3.8758,43.20,43.50
65.00,8,C,56353,0.003100,0.0105,3.5435,0.00,0.03
70.00,8,C,105544,0.002800,0.0097,3.7032,0.00,0.02
75.00,8,C,34170,0.002500,0.0090,3.8505,0.00,0.02
80.00,8,C,37641,0.002300,0.0085,3.9870,0.00,0.01
80.00,8,P,1,0.002300,-0.9906,4.4998,63.15,63.45
