# spot,16.7300,ts,2026-07-16 22:53:47
strike,dte,cp,oi,gamma,delta,iv,bid,ask
10.00,6,C,4000,0.003100,0.9952,0.0000,7.15,7.45
10.00,6,P,86,0.003100,-0.0041,1.7554,0.00,0.01
10.50,6,C,5,0.003800,0.9947,2.2662,6.65,6.95
10.50,6,P,26,0.003800,-0.0046,1.6131,0.00,0.01
11.00,6,C,64,0.004600,0.9941,2.0827,6.15,6.45
11.00,6,P,11,0.004600,-0.0052,1.4769,0.00,0.01
11.50,6,C,3,0.005600,0.9934,1.9066,5.65,5.95
11.50,6,P,9,0.005600,-0.0059,1.3462,0.00,0.01
12.00,6,C,1540,0.007000,0.9925,1.7371,5.15,5.45
12.00,6,P,2221,0.007000,-0.0068,1.2204,0.00,0.01
12.50,6,C,18,0.008800,0.9913,1.5734,4.65,4.95
12.50,6,P,231,0.008800,-0.0080,1.3740,0.00,0.02
13.00,6,C,939,0.011700,0.9894,1.4149,4.15,4.45
13.00,6,P,3713,0.011700,-0.0099,1.2719,0.00,0.02
13.50,6,C,215,0.016400,0.9861,1.2608,3.65,3.95
13.50,6,P,1851,0.016400,-0.0132,1.1315,0.00,0.02
14.00,6,C,5491,0.024700,0.9801,0.0000,3.15,3.45
14.00,6,P,11624,0.024700,-0.0192,0.8835,0.00,0.02
14.50,6,C,146,0.038700,0.9694,1.0203,2.79,2.86
14.50,6,P,3182,0.038700,-0.0298,0.8310,0.00,0.03
15.00,6,C,8280,0.061600,0.9516,0.8693,2.30,2.38
15.00,6,P,64185,0.061600,-0.0476,0.7507,0.01,0.04
15.50,6,C,1462,0.097700,0.9228,0.6214,1.84,1.92
15.50,6,P,84668,0.097700,-0.0765,0.6527,0.04,0.07
16.00,6,C,4737,0.155900,0.8526,0.8076,1.43,1.50
16.00,6,P,189689,0.155900,-0.1467,0.7708,0.13,0.17
16.50,6,C,2804,0.200700,0.7348,0.8063,1.10,1.17
16.50,6,P,100943,0.200700,-0.2645,0.7708,0.28,0.34
17.00,6,C,32211,0.206600,0.6119,0.8020,0.87,0.92
17.00,6,P,162408,0.206600,-0.3874,0.8917,0.54,0.61
17.50,6,C,42818,0.193200,0.5091,0.9345,0.71,0.75
17.50,6,P,71026,0.193200,-0.4902,0.9230,0.88,0.96
18.00,6,C,57229,0.173900,0.4263,1.0430,0.58,0.62
18.00,6,P,113322,0.173900,-0.5730,1.0141,1.26,1.33
18.50,6,C,40953,0.153900,0.3599,1.0351,0.49,0.54
18.50,6,P,47909,0.153900,-0.6394,1.0796,1.66,1.74
19.00,6,C,87987,0.135200,0.3066,1.1062,0.42,0.48
19.00,6,P,99609,0.135200,-0.6926,1.1279,2.09,2.17
19.50,6,C,19831,0.118600,0.2639,1.1699,0.36,0.41
19.50,6,P,44434,0.118600,-0.7354,1.2372,2.53,2.61
20.00,6,C,222419,0.104200,0.2295,1.2085,0.30,0.37
20.00,6,P,101443,0.104200,-0.7698,1.2677,2.98,3.05
20.50,6,C,56187,0.091800,0.2017,1.2843,0.27,0.33
20.50,6,P,51640,0.091800,-0.7976,1.3826,3.40,3.55
21.00,6,C,79478,0.081400,0.1791,1.4667,0.24,0.30
21.00,6,P,59818,0.081400,-0.8202,1.4623,3.90,4.00
21.50,6,C,38174,0.072500,0.1606,1.5065,0.21,0.27
21.50,6,P,19657,0.072500,-0.8387,1.4827,4.35,4.50
22.00,6,C,132449,0.065000,0.1453,1.6632,0.20,0.25
22.00,6,P,55065,0.065000,-0.8540,1.5900,4.85,4.95
22.50,6,C,41864,0.058600,0.1324,1.7373,0.18,0.23
22.50,6,P,162,0.058600,-0.8669,1.6928,5.30,5.45
23.00,6,C,99064,0.053200,0.1216,1.7938,0.16,0.21
23.00,6,P,19891,0.053200,-0.8777,1.6766,5.80,5.90
23.50,6,C,43258,0.048500,0.1122,1.8541,0.15,0.20
23.50,6,P,184,0.048500,-0.8870,1.7686,6.30,6.40
24.00,6,C,105325,0.044500,0.1042,1.9203,0.14,0.19
24.00,6,P,16831,0.044500,-0.8951,1.8573,6.75,6.90
24.50,6,C,16929,0.041000,0.0971,1.9690,0.13,0.18
24.50,6,P,38,0.041000,-0.9022,1.8752,7.25,7.40
25.00,6,C,246715,0.037900,0.0909,2.0518,0.13,0.16
25.00,6,P,37563,0.037900,-0.9084,1.8811,7.75,7.90
26.00,6,C,69749,0.032700,0.0804,2.0784,0.09,0.16
26.00,6,P,1687,0.032700,-0.9189,2.0338,8.75,8.85
27.00,6,C,58251,0.028600,0.0719,2.2223,0.08,0.14
27.00,6,P,1260,0.028600,-0.9274,2.1783,9.70,9.85
28.00,6,C,105828,0.025300,0.0649,2.3585,0.10,0.15
28.00,6,P,1238,0.025300,-0.9344,2.3154,10.70,10.80
29.00,6,C,21891,0.022600,0.0590,2.4523,0.10,0.14
29.00,6,P,1813,0.022600,-0.9402,2.4459,11.70,11.80
30.00,6,C,152956,0.020300,0.0541,2.5364,0.09,0.13
30.00,6,P,856,0.020300,-0.9452,2.4716,12.70,12.80
31.00,6,C,48546,0.018400,0.0498,2.5900,0.05,0.12
31.00,6,P,550,0.018400,-0.9494,2.5885,13.70,13.80
32.00,6,C,25129,0.016800,0.0462,2.6767,0.05,0.11
32.00,6,P,108,0.016800,-0.9531,2.5822,14.70,14.80
33.00,6,C,23993,0.015400,0.0430,2.7330,0.04,0.10
33.00,6,P,810,0.015400,-0.9563,2.6877,15.65,15.80
34.00,6,C,31126,0.014200,0.0402,2.8063,0.03,0.09
34.00,6,P,15,0.014200,-0.9591,2.7895,16.65,16.75
35.00,6,C,137288,0.013100,0.0377,2.8740,0.03,0.08
35.00,6,P,29,0.013100,-0.9616,2.7383,17.65,17.75
36.00,6,C,13453,0.012200,0.0355,2.9362,0.04,0.08
36.00,6,P,66,0.012200,-0.9638,2.8311,18.65,18.75
37.00,6,C,21180,0.011400,0.0335,3.0232,0.03,0.08
37.00,6,P,13,0.011400,-0.9658,2.9210,19.65,19.75
38.00,6,C,20093,0.010700,0.0317,3.0444,0.04,0.08
38.00,6,P,28,0.010700,-0.9676,3.0082,20.65,20.95
39.00,6,C,27007,0.010000,0.0301,3.0904,0.01,0.08
39.00,6,P,2,0.010000,-0.9692,3.0929,21.65,21.95
40.00,6,C,81823,0.009400,0.0286,3.1312,0.02,0.07
40.00,6,P,221,0.009400,-0.9706,3.1752,22.60,22.95
42.50,6,C,31736,0.008200,0.0255,3.2304,0.00,0.07
42.50,6,P,7,0.008200,-0.9738,3.1642,25.10,25.40
45.00,6,C,178852,0.007200,0.0230,3.2439,0.00,0.07
