# spot,14.5100,ts,2026-08-28 03:44:37
strike,dte,cp,oi,gamma,delta,iv,bid,ask
10.00,19,C,3971,0.001800,0.9963,0.9974,6.60,6.75
10.00,19,P,268,0.001800,-0.0016,0.9617,0.00,0.01
10.50,19,C,240,0.002600,0.9956,0.9016,6.10,6.25
10.50,19,P,2,0.002600,-0.0024,0.8783,0.00,0.02
11.00,19,C,371,0.003900,0.9946,0.8104,5.60,5.75
11.00,19,P,22,0.003900,-0.0034,0.7984,0.00,0.02
11.50,19,C,17,0.005800,0.9930,0.7233,5.10,5.25
11.50,19,P,2016,0.005800,-0.0050,0.7217,0.00,0.02
12.00,19,C,2191,0.008600,0.9907,0.6400,4.60,4.75
12.00,19,P,566,0.008600,-0.0072,0.5929,0.00,0.01
12.50,19,C,42,0.013100,0.9873,0.5602,4.10,4.25
12.50,19,P,115,0.013100,-0.0107,0.6110,0.00,0.03
13.00,19,C,2247,0.020400,0.9815,0.4835,3.60,3.75
13.00,19,P,4390,0.020400,-0.0165,0.5382,0.00,0.03
13.50,19,C,361,0.033100,0.9708,0.4097,3.10,3.25
13.50,19,P,981,0.033100,-0.0271,0.4672,0.00,0.03
14.00,19,C,1305,0.054200,0.9514,0.4182,2.64,2.74
14.00,19,P,34391,0.054200,-0.0465,0.4352,0.00,0.05
14.50,19,C,1557,0.086400,0.9175,0.4376,2.18,2.28
14.50,19,P,18801,0.086400,-0.0804,0.4482,0.04,0.09
15.00,19,C,6387,0.129500,0.8446,0.4802,1.78,1.88
15.00,19,P,59616,0.129500,-0.1533,0.4769,0.13,0.18
15.50,19,C,2330,0.158900,0.7460,0.5140,1.44,1.53
15.50,19,P,90851,0.158900,-0.2519,0.5164,0.28,0.35
16.00,19,C,24823,0.168600,0.6466,0.5710,1.19,1.28
16.00,19,P,221526,0.168600,-0.3514,0.5738,0.53,0.60
16.50,19,C,9353,0.161100,0.5569,0.6372,1.02,1.10
16.50,19,P,51327,0.161100,-0.4410,0.6371,0.84,0.93
17.00,19,C,33555,0.146900,0.4845,0.6986,0.88,0.97
17.00,19,P,223034,0.146900,-0.5134,0.6992,1.21,1.29
17.50,19,C,44602,0.132300,0.4271,0.7636,0.79,0.87
17.50,19,P,90116,0.132300,-0.5709,0.7649,1.61,1.70
18.00,19,C,137027,0.119000,0.3809,0.8251,0.72,0.79
18.00,19,P,165936,0.119000,-0.6171,0.8237,2.03,2.12
18.50,19,C,71943,0.107500,0.3430,0.8804,0.65,0.73
18.50,19,P,62623,0.107500,-0.6550,0.8832,2.47,2.56
19.00,19,C,103094,0.097500,0.3112,0.9321,0.60,0.67
19.00,19,P,156616,0.097500,-0.6868,0.9322,2.91,3.00
19.50,19,C,21874,0.088900,0.2841,0.9787,0.55,0.62
19.50,19,P,24704,0.088900,-0.7139,0.9756,3.35,3.45
20.00,19,C,355724,0.081400,0.2607,1.0294,0.52,0.58
20.00,19,P,149785,0.081400,-0.7373,1.0351,3.80,3.95
20.50,19,C,17509,0.074900,0.2402,1.0697,0.48,0.54
20.50,19,P,5308,0.074900,-0.7578,1.0681,4.25,4.40
21.00,19,C,144903,0.069200,0.2222,1.1083,0.44,0.51
21.00,19,P,18745,0.069200,-0.7758,1.0942,4.70,4.85
21.50,19,C,9564,0.064100,0.2061,1.1415,0.41,0.47
21.50,19,P,3431,0.064100,-0.7918,1.1370,5.20,5.30
22.00,19,C,205460,0.059500,0.1918,1.1744,0.38,0.44
22.00,19,P,42032,0.059500,-0.8062,1.1755,5.65,5.80
22.50,19,C,7707,0.055400,0.1789,1.2129,0.36,0.42
22.50,19,P,114,0.055400,-0.8191,1.2101,6.15,6.25
23.00,19,C,157125,0.051800,0.1672,1.2374,0.33,0.39
23.00,19,P,9977,0.051800,-0.8308,1.2408,6.60,6.75
23.50,19,C,12640,0.048400,0.1567,1.2905,0.35,0.37
23.50,19,P,686,0.048400,-0.8413,1.2678,7.10,7.20
24.00,19,C,243734,0.045400,0.1470,1.3138,0.32,0.35
24.00,19,P,13575,0.045400,-0.8509,1.2911,7.55,7.70
24.50,19,C,4303,0.042700,0.1382,1.3216,0.27,0.33
24.50,19,P,22,0.042700,-0.8597,1.3409,8.05,8.20
25.00,19,C,318110,0.040200,0.1302,1.3744,0.29,0.32
25.00,19,P,7490,0.040200,-0.8678,1.3587,8.55,8.65
26.00,19,C,28170,0.035700,0.1160,1.3982,0.23,0.28
26.00,19,P,1791,0.035700,-0.8820,1.4175,9.50,9.65
27.00,19,C,40788,0.032000,0.1040,1.4370,0.20,0.25
27.00,19,P,189,0.032000,-0.8940,1.4314,10.45,10.60
28.00,19,C,92063,0.028800,0.0936,1.4822,0.18,0.23
28.00,19,P,118,0.028800,-0.9043,1.5111,11.45,11.60
29.00,19,C,39417,0.026000,0.0848,1.5202,0.16,0.21
29.00,19,P,572,0.026000,-0.9132,1.5031,12.40,12.55
30.00,19,C,200517,0.023600,0.0771,1.5605,0.14,0.20
30.00,19,P,4420,0.023600,-0.9209,1.5742,13.40,13.55
31.00,19,C,28081,0.021600,0.0704,1.5951,0.13,0.18
31.00,19,P,40,0.021600,-0.9276,1.5940,14.40,14.50
32.00,19,C,42260,0.019700,0.0645,1.6348,0.12,0.17
32.00,19,P,7,0.019700,-0.9335,1.6050,15.35,15.50
33.00,19,C,30947,0.018100,0.0593,1.6704,0.11,0.16
33.00,19,P,29,0.018100,-0.9386,1.6669,16.35,16.50
34.00,19,C,18066,0.016700,0.0547,1.7018,0.10,0.15
34.00,19,P,14,0.016700,-0.9432,1.7267,17.35,17.50
35.00,19,C,193674,0.015400,0.0507,1.7290,0.09,0.14
35.00,19,P,588,0.015400,-0.9473,1.7226,18.35,18.45
36.00,19,C,29813,0.014300,0.0471,1.7521,0.08,0.13
36.00,19,P,70,0.014300,-0.9509,1.7069,19.30,19.45
37.00,19,C,39526,0.013300,0.0438,1.7709,0.07,0.12
37.00,19,P,9,0.013300,-0.9542,1.7605,20.30,20.45
38.00,19,C,17225,0.012400,0.0409,1.8169,0.07,0.12
38.00,19,P,79,0.012400,-0.9571,1.8127,21.30,21.45
39.00,19,C,1335,0.011600,0.0382,1.8291,0.06,0.11
39.00,19,P,50,0.011600,-0.9597,1.8634,22.30,22.45
40.00,19,C,163622,0.010800,0.0358,1.8884,0.08,0.10
40.00,19,P,31,0.010800,-0.9621,1.9129,23.30,23.45
42.50,19,C,40561,0.009200,0.0308,1.9170,0.05,0.09
42.50,19,P,430,0.009200,-0.9672,1.8422,25.75,25.90
45.00,19,C,72391,0.008000,0.0267,1.9663,0.04,0.08
45.00,19,P,314,0.008000,-0.9713,1.9565,28.25,28.40
47.50,19,C,20600,0.007000,0.0233,2.0275,0.03,0.08
47.50,19,P,79,0.007000,-0.9746,2.0648,30.75,30.90
50.00,19,C,100165,0.006100,0.0206,2.0529,0.02,0.07
50.00,19,P,24,0.006100,-0.9774,2.1679,33.25,33.40
55.00,19,C,96112,0.004800,0.0163,2.1644,0.02,0.06
55.00,19,P,1,0.004800,-0.9816,2.0769,38.20,38.35
60.00,19,C,84534,0.003900,0.0132,2.2560,0.01,0.06
60.00,19,P,16,0.003900,-0.9847,2.2799,43.20,43.35
65.00,19,C,55064,0.003200,0.0109,2.2835,0.00,0.05
70.00,19,C,104543,0.002700,0.0091,2.3856,0.00,0.05
75.00,19,C,32748,0.002300,0.0077,2.4234,0.00,0.04
80.00,19,C,37619,0.001900,0.0066,2.5093,0.00,0.04
80.00,19,P,1,0.001900,-0.9914,2.6065,63.15,63.30
85.00,19,C,32056,0.001700,0.0057,2.6484,0.01,0.04
90.00,19,C,23186,0.001400,0.0050,2.6644,0.00,0.04
90.00,19,P,1,0.001400,-0.9930,2.9310,73.15,73.30
95.00,19,C,28797,0.001300,0.0044,2.7348,0.00,0.04
100.00,19,C,25821,0.001100,0.0038,2.7260,0.00,0.03
100.00,19,P,69,0.001100,-0.9941,2.7946,83.10,83.25
110.00,19,C,10239,0.000900,0.0031,2.8462,0.00,0.03
110.00,19,P,55,0.000900,-0.9949,3.1336,93.10,93.25
120.00,19,C,22215,0.000700,0.0024,2.9548,0.00,0.03
120.00,19,P,107,0.000700,-0.9955,2.8548,103.05,103.20
130.00,19,C,10816,0.000600,0.0020,3.0539,0.00,0.03
130.00,19,P,102,0.000600,-0.9960,3.2642,113.05,113.20
140.00,19,C,20229,0.000500,0.0017,3.1448,0.00,0.03
140.00,19,P,120,0.000500,-0.9963,3.3049,123.00,123.20
150.00,19,C,27651,0.000400,0.0014,3.2290,0.00,0.03
150.00,19,P,1,0.000400,-0.9966,3.3286,133.00,133.15
160.00,19,C,720,0.000300,0.0012,3.3071,0.00,0.03
170.00,19,C,3294,0.000300,0.0010,3.3801,0.00,0.03
180.00,19,C,2762,0.000200,0.0009,3.4486,0.00,0.03
180.00,19,P,1,0.000200,-0.9971,3.6934,162.95,163.10
190.00,19,C,2060,0.000200,0.0007,3.5130,0.00,0.03
200.00,19,C,2380,0.000200,0.0006,3.5739,0.00,0.03
200.00,19,P,41,0.000200,-0.9973,3.9763,182.90,183.10
10.00,54,C,252,0.002000,0.9910,0.8531,8.40,8.55
10.00,54,P,284,0.002000,-0.0027,0.6703,0.00,0.02
10.50,54,C,2,0.002800,0.9898,0.7848,7.90,8.05
10.50,54,P,22,0.002800,-0.0039,0.6214,0.00,0.02
11.00,54,C,52,0.004100,0.9881,0.7197,7.40,7.55
11.00,54,P,11,0.004100,-0.0057,0.6057,0.00,0.03
11.50,54,C,7,0.005800,0.9857,0.6577,6.90,7.05
11.50,54,P,206,0.005800,-0.0081,0.5588,0.00,0.03
12.00,54,C,121,0.008100,0.9823,0.5983,6.40,6.55
12.00,54,P,509,0.008100,-0.0114,0.5137,0.00,0.03
12.50,54,C,10,0.011400,0.9776,0.5415,5.90,6.05
12.50,54,P,321,0.011400,-0.0161,0.4902,0.00,0.04
13.00,54,C,1519,0.015800,0.9711,0.4870,5.40,5.55
13.00,54,P,12356,0.015800,-0.0226,0.4467,0.02,0.04
13.50,54,C,56,0.022300,0.9603,0.5226,4.95,5.10
13.50,54,P,777,0.022300,-0.0335,0.4544,0.02,0.06
14.00,54,C,1095,0.032400,0.9396,0.5265,4.50,4.65
14.00,54,P,1520,0.032400,-0.0541,0.4713,0.06,0.10
14.50,54,C,304,0.044700,0.9057,0.5159,4.05,4.20
14.50,54,P,5001,0.044700,-0.0880,0.4899,0.12,0.17
15.00,54,C,7739,0.056000,0.8634,0.5624,3.75,3.80
