# spot,18.7700,ts,2026-07-17 22:43:46
strike,dte,cp,oi,gamma,delta,iv,bid,ask
10.00,5,C,4001,0.002100,0.9964,2.9813,8.80,9.05
10.00,5,P,86,0.002100,-0.0032,2.1680,0.00,0.01
10.50,5,C,5,0.002500,0.9961,2.5057,8.30,8.55
10.50,5,P,29,0.002500,-0.0036,2.0133,0.00,0.01
11.00,5,C,64,0.003000,0.9956,2.3250,7.80,8.05
11.00,5,P,11,0.003000,-0.0040,1.8654,0.00,0.01
11.50,5,C,3,0.003500,0.9952,2.1519,7.30,7.55
11.50,5,P,9,0.003500,-0.0045,1.7238,0.00,0.01
12.00,5,C,1540,0.004200,0.9946,1.9857,6.80,7.05
12.00,5,P,2208,0.004200,-0.0050,1.5876,0.00,0.01
12.50,5,C,18,0.005100,0.9940,2.0383,6.30,6.60
12.50,5,P,231,0.005100,-0.0057,1.4565,0.00,0.01
13.00,5,C,939,0.006200,0.9932,1.8702,5.80,6.10
13.00,5,P,3663,0.006200,-0.0064,1.6990,0.00,0.03
13.50,5,C,219,0.007600,0.9923,1.7075,5.30,5.60
13.50,5,P,1785,0.007600,-0.0074,1.5492,0.00,0.03
14.00,5,C,5490,0.009800,0.9907,1.3766,4.80,5.15
14.00,5,P,11624,0.009800,-0.0089,1.2581,0.00,0.01
14.50,5,C,146,0.013700,0.9877,1.3954,4.30,4.60
14.50,5,P,6170,0.013700,-0.0120,1.2230,0.00,0.03
15.00,5,C,10237,0.021300,0.9810,1.2450,3.85,4.10
15.00,5,P,66999,0.021300,-0.0187,0.9432,0.01,0.02
15.50,5,C,1299,0.035000,0.9671,0.9632,3.40,3.50
15.50,5,P,87791,0.035000,-0.0325,0.9872,0.02,0.03
16.00,5,C,4525,0.057000,0.9403,1.0610,2.93,3.05
16.00,5,P,196759,0.057000,-0.0593,0.9265,0.03,0.06
16.50,5,C,4538,0.085900,0.8944,0.8911,2.48,2.58
16.50,5,P,97977,0.085900,-0.1053,1.0116,0.08,0.12
17.00,5,C,37618,0.115000,0.8308,0.9617,2.07,2.17
17.00,5,P,160256,0.115000,-0.1689,1.0176,0.15,0.21
