# spot,15.1300,ts,2026-08-21 22:18:46
strike,dte,cp,oi,gamma,delta,iv,bid,ask
10.00,26,C,3965,0.002700,0.9938,0.0000,7.35,7.60
10.00,26,P,269,0.002700,-0.0034,0.9000,0.00,0.01
10.50,26,C,240,0.003600,0.9929,0.0000,6.90,7.10
10.50,26,P,2,0.003600,-0.0043,0.8282,0.00,0.01
11.00,26,C,372,0.004700,0.9917,0.0000,6.35,6.60
11.00,26,P,22,0.004700,-0.0054,0.7595,0.00,0.01
11.50,26,C,17,0.006200,0.9902,0.0000,5.85,6.10
11.50,26,P,2016,0.006200,-0.0069,0.6935,0.00,0.01
12.00,26,C,2191,0.008300,0.9882,0.0000,5.35,5.60
12.00,26,P,563,0.008300,-0.0089,0.7195,0.00,0.01
12.50,26,C,42,0.011500,0.9853,0.0000,4.85,5.15
12.50,26,P,115,0.011500,-0.0118,0.6712,0.00,0.03
13.00,26,C,2260,0.016400,0.9806,0.4352,4.45,4.55
13.00,26,P,4390,0.016400,-0.0166,0.6200,0.00,0.03
13.50,26,C,347,0.024300,0.9724,0.0000,3.95,4.05
13.50,26,P,544,0.024300,-0.0247,0.5797,0.01,0.03
14.00,26,C,1386,0.037500,0.9569,1.3344,3.50,3.55
14.00,26,P,34379,0.037500,-0.0402,0.4867,0.02,0.04
14.50,26,C,1521,0.058300,0.9261,0.4796,3.00,3.10
14.50,26,P,19930,0.058300,-0.0710,0.4337,0.06,0.08
15.00,26,C,6132,0.083000,0.8738,0.0000,2.62,2.65
15.00,26,P,64717,0.083000,-0.1234,0.4737,0.13,0.16
15.50,26,C,2122,0.103900,0.8079,0.0000,2.22,2.28
15.50,26,P,74093,0.103900,-0.1892,0.4898,0.25,0.29
16.00,26,C,25273,0.118100,0.7366,0.6313,1.91,1.95
16.00,26,P,214686,0.118100,-0.2606,0.5890,0.42,0.46
16.50,26,C,1680,0.123500,0.6628,0.6386,1.64,1.70
16.50,26,P,30874,0.123500,-0.3344,0.6281,0.66,0.71
17.00,26,C,15297,0.121900,0.5944,0.6928,1.45,1.50
17.00,26,P,199212,0.121900,-0.4027,0.6641,0.95,0.99
17.50,26,C,7664,0.116800,0.5347,0.7254,1.29,1.34
17.50,26,P,64435,0.116800,-0.4625,0.7173,1.29,1.35
18.00,26,C,90752,0.110100,0.4833,0.7712,1.16,1.21
18.00,26,P,159803,0.110100,-0.5138,0.7801,1.66,1.72
18.50,26,C,67603,0.103000,0.4393,0.8222,1.05,1.10
18.50,26,P,61762,0.103000,-0.5578,0.8211,2.05,2.12
19.00,26,C,102889,0.095900,0.4016,0.8705,0.98,1.01
19.00,26,P,157608,0.095900,-0.5955,0.8674,2.46,2.53
19.50,26,C,20804,0.089200,0.3692,0.9125,0.89,0.94
19.50,26,P,24697,0.089200,-0.6279,0.9130,2.88,2.96
20.00,26,C,323267,0.083000,0.3413,0.9466,0.83,0.88
20.00,26,P,148729,0.083000,-0.6559,0.9538,3.30,3.40
20.50,26,C,16338,0.077400,0.3170,0.9857,0.78,0.83
20.50,26,P,5282,0.077400,-0.6802,0.9971,3.75,3.85
21.00,26,C,118248,0.072300,0.2957,1.0284,0.73,0.78
21.00,26,P,18736,0.072300,-0.7015,1.0348,4.20,4.30
21.50,26,C,8697,0.067700,0.2769,1.0632,0.69,0.74
21.50,26,P,3431,0.067700,-0.7203,1.0513,4.65,4.75
22.00,26,C,163816,0.063500,0.2602,1.1000,0.65,0.70
22.00,26,P,42091,0.063500,-0.7370,1.0786,5.10,5.25
22.50,26,C,6898,0.059700,0.2452,1.1330,0.61,0.66
22.50,26,P,95,0.059700,-0.7519,1.1188,5.60,5.70
23.00,26,C,153272,0.056300,0.2317,1.1624,0.59,0.63
23.00,26,P,10366,0.056300,-0.7654,1.1737,6.05,6.15
23.50,26,C,12373,0.053200,0.2195,1.1920,0.55,0.60
23.50,26,P,689,0.053200,-0.7776,1.1716,6.50,6.65
24.00,26,C,241441,0.050300,0.2084,1.2073,0.53,0.56
24.00,26,P,13588,0.050300,-0.7887,1.2215,7.00,7.10
24.50,26,C,2547,0.047700,0.1982,1.2502,0.50,0.55
24.50,26,P,22,0.047700,-0.7989,1.2307,7.45,7.60
25.00,26,C,311255,0.045400,0.1888,1.2795,0.48,0.53
25.00,26,P,7443,0.045400,-0.8083,1.2768,7.95,8.00
26.00,26,C,28120,0.041200,0.1722,1.3443,0.45,0.49
26.00,26,P,1800,0.041200,-0.8249,1.2789,8.90,9.00
27.00,26,C,36036,0.037600,0.1580,1.3801,0.41,0.45
27.00,26,P,188,0.037600,-0.8392,1.3364,9.85,9.95
28.00,26,C,73670,0.034400,0.1455,1.4217,0.37,0.42
28.00,26,P,116,0.034400,-0.8516,1.3880,10.80,10.95
29.00,26,C,37962,0.031700,0.1346,1.4666,0.35,0.39
29.00,26,P,572,0.031700,-0.8625,1.4076,11.80,11.90
30.00,26,C,210227,0.029300,0.1250,1.5115,0.33,0.36
30.00,26,P,4519,0.029300,-0.8721,1.4751,12.75,12.85
31.00,26,C,34057,0.027200,0.1164,1.5409,0.30,0.34
31.00,26,P,40,0.027200,-0.8807,1.5113,13.75,13.85
32.00,26,C,35402,0.025400,0.1088,1.5766,0.28,0.31
32.00,26,P,7,0.025400,-0.8884,1.5728,14.70,14.80
33.00,26,C,30946,0.023700,0.1018,1.6082,0.27,0.29
33.00,26,P,29,0.023700,-0.8953,1.5699,15.70,15.80
34.00,26,C,18061,0.022200,0.0956,1.4581,0.25,0.28
34.00,26,P,14,0.022200,-0.9015,1.6260,16.65,16.80
35.00,26,C,166985,0.020800,0.0899,1.6529,0.23,0.26
35.00,26,P,36,0.020800,-0.9072,1.6464,17.65,17.75
36.00,26,C,29559,0.019600,0.0848,1.6940,0.22,0.25
36.00,26,P,68,0.019600,-0.9124,1.6624,18.65,18.75
37.00,26,C,37194,0.018400,0.0800,1.7109,0.21,0.23
37.00,26,P,9,0.018400,-0.9171,1.7125,19.60,19.75
38.00,26,C,17194,0.017400,0.0757,1.7398,0.19,0.22
38.00,26,P,29,0.017400,-0.9214,1.7222,20.60,20.70
39.00,26,C,1204,0.016500,0.0717,1.7663,0.18,0.21
39.00,26,P,50,0.016500,-0.9254,1.7274,21.60,21.70
40.00,26,C,166287,0.015600,0.0680,1.7906,0.17,0.20
40.00,26,P,31,0.015600,-0.9291,1.7728,22.60,22.70
42.50,26,C,33892,0.013700,0.0599,1.8512,0.15,0.18
42.50,26,P,430,0.013700,-0.9372,1.7861,25.05,25.15
45.00,26,C,161301,0.012200,0.0532,1.9004,0.15,0.16
45.00,26,P,388,0.012200,-0.9439,1.8879,27.55,27.65
47.50,26,C,20605,0.010800,0.0475,1.9386,0.11,0.15
47.50,26,P,79,0.010800,-0.9496,1.8686,30.00,30.10
50.00,26,C,100216,0.009700,0.0427,1.9904,0.11,0.13
50.00,26,P,25,0.009700,-0.9545,1.9612,32.50,32.60
55.00,26,C,96103,0.008000,0.0349,2.0745,0.08,0.11
55.00,26,P,1,0.008000,-0.9622,2.0677,37.45,37.55
60.00,26,C,78994,0.006600,0.0290,2.1338,0.06,0.10
60.00,26,P,16,0.006600,-0.9682,2.2289,42.45,42.55
65.00,26,C,252753,0.005600,0.0244,2.1873,0.05,0.08
70.00,26,C,104552,0.004800,0.0208,2.2429,0.04,0.07
75.00,26,C,32805,0.004100,0.0178,2.3081,0.03,0.05
80.00,26,C,37830,0.003600,0.0155,2.3096,0.02,0.05
80.00,26,P,1,0.003600,-0.9817,2.4733,62.15,62.45
85.00,26,C,33712,0.003100,0.0135,2.4125,0.02,0.04
90.00,26,C,23186,0.002800,0.0119,2.3858,0.01,0.03
90.00,26,P,3,0.002800,-0.9852,2.5248,72.15,72.55
95.00,26,C,28797,0.002400,0.0105,2.5477,0.01,0.03
100.00,26,C,25820,0.002200,0.0094,2.5788,0.01,0.03
100.00,26,P,69,0.002200,-0.9877,2.6722,82.10,82.50
110.00,26,C,10241,0.001800,0.0076,2.6914,0.00,0.03
110.00,26,P,55,0.001800,-0.9896,2.8060,92.05,92.45
120.00,26,C,22215,0.001500,0.0062,2.7584,0.00,0.02
120.00,26,P,107,0.001500,-0.9909,2.9286,102.05,102.40
130.00,26,C,10816,0.001200,0.0052,2.8502,0.00,0.02
130.00,26,P,102,0.001200,-0.9919,2.9025,112.00,112.40
140.00,26,C,20229,0.001000,0.0044,2.9346,0.01,0.02
140.00,26,P,120,0.001000,-0.9927,3.0114,121.95,122.35
150.00,26,C,27651,0.000900,0.0038,2.9722,0.00,0.02
150.00,26,P,1,0.000900,-0.9934,3.1134,131.95,132.35
160.00,26,C,720,0.000800,0.0032,3.0439,0.00,0.02
170.00,26,C,3294,0.000700,0.0028,3.0647,0.00,0.02
180.00,26,C,2762,0.000600,0.0025,3.1268,0.00,0.02
180.00,26,P,1,0.000600,-0.9946,3.3857,161.85,162.25
190.00,26,C,2060,0.000500,0.0022,3.1852,0.00,0.02
200.00,26,C,2380,0.000500,0.0020,3.2404,0.00,0.02
200.00,26,P,41,0.000500,-0.9952,0.0000,181.85,182.25
10.00,61,C,202,0.001600,0.9905,0.6981,8.90,9.20
10.00,61,P,284,0.001600,-0.0024,0.6647,0.00,0.01
10.50,61,C,2,0.002400,0.9893,0.6276,8.50,8.70
10.50,61,P,22,0.002400,-0.0036,0.5714,0.00,0.01
11.00,61,C,52,0.003400,0.9877,0.6770,8.00,8.20
11.00,61,P,11,0.003400,-0.0052,0.6500,0.00,0.01
11.50,61,C,3,0.004900,0.9855,0.6173,7.45,7.70
11.50,61,P,206,0.004900,-0.0074,0.6031,0.00,0.01
12.00,61,C,121,0.006800,0.9824,0.5601,7.05,7.15
12.00,61,P,407,0.006800,-0.0105,0.5883,0.00,0.04
12.50,61,C,9,0.009600,0.9779,0.5050,6.55,6.65
12.50,61,P,320,0.009600,-0.0150,0.5667,0.01,0.05
13.00,61,C,1518,0.013600,0.9708,0.0000,6.10,6.20
13.00,61,P,12349,0.013600,-0.0221,0.4570,0.02,0.04
13.50,61,C,66,0.019400,0.9592,0.4955,5.60,5.70
13.50,61,P,777,0.019400,-0.0337,0.4568,0.04,0.07
14.00,61,C,1193,0.027000,0.9411,0.0000,5.15,5.25
14.00,61,P,1411,0.027000,-0.0518,0.4670,0.07,0.10
14.50,61,C,299,0.035900,0.9156,0.5122,4.70,4.80
14.50,61,P,4948,0.035900,-0.0773,0.5357,0.13,0.15
15.00,61,C,6839,0.045000,0.8829,0.5901,4.30,4.40
15.00,61,P,17399,0.045000,-0.1100,0.5392,0.22,0.25
15.50,61,C,72,0.053200,0.8445,0.0000,3.95,4.05
16.00,61,C,3756,0.059800,0.8021,0.6102,3.60,3.70
16.00,61,P,130970,0.059800,-0.1908,0.5811,0.51,0.54
16.50,61,C,12,0.064300,0.7579,0.4016,3.25,3.45
17.00,61,C,5145,0.066900,0.7144,0.6391,3.05,3.15
17.00,61,P,115600,0.066900,-0.2785,0.6352,0.95,1.00
17.50,61,C,42,0.068000,0.6732,0.6626,2.77,2.96
17.50,61,P,5,0.068000,-0.3197,0.6674,1.20,1.33
18.00,61,C,7825,0.068200,0.6347,0.6905,2.63,2.70
18.00,61,P,73581,0.068200,-0.3582,0.6998,1.51,1.58
18.50,61,C,1,0.067600,0.5989,0.7250,2.46,2.58
19.00,61,C,15258,0.066600,0.5659,0.7438,2.32,2.37
19.00,61,P,64495,0.066600,-0.4270,0.7550,2.18,2.24
19.50,61,C,3882,0.065300,0.5354,0.7744,2.17,2.28
19.50,61,P,3755,0.065300,-0.4576,0.7688,2.50,2.66
20.00,61,C,153215,0.063700,0.5071,0.7946,2.06,2.10
20.00,61,P,72046,0.063700,-0.4858,0.7902,2.90,2.97
20.50,61,C,42,0.062000,0.4811,0.8149,1.93,2.01
20.50,61,P,2,0.062000,-0.5118,0.8116,3.25,3.40
21.00,61,C,44459,0.060200,0.4571,0.8357,1.83,1.88
21.00,61,P,49184,0.060200,-0.5358,0.8352,3.65,3.75
21.50,61,C,50,0.058300,0.4349,0.8593,1.73,1.83
22.00,61,C,22156,0.056500,0.4145,0.8828,1.65,1.70
22.00,61,P,13109,0.056500,-0.5784,0.8714,4.45,4.55
23.00,61,C,45148,0.052800,0.3783,0.9211,1.50,1.55
23.00,61,P,15079,0.052800,-0.6146,0.9118,5.30,5.40
23.50,61,C,5,0.051000,0.3623,0.9346,1.43,1.52
24.00,61,C,73536,0.049400,0.3475,0.9630,1.37,1.42
24.00,61,P,2585,0.049400,-0.6454,0.9419,6.15,6.30
24.50,61,C,3,0.047700,0.3338,0.9701,1.32,1.39
25.00,61,C,119730,0.046100,0.3211,0.9930,1.27,1.31
25.00,61,P,18023,0.046100,-0.6718,0.9810,7.05,7.15
26.00,61,C,30901,0.043200,0.2984,1.0248,1.18,1.23
26.00,61,P,1328,0.043200,-0.6945,1.0131,7.95,8.05
27.00,61,C,26989,0.040500,0.2787,1.0559,1.10,1.15
27.00,61,P,49,0.040500,-0.7142,1.0582,8.90,9.00
28.00,61,C,20733,0.038100,0.2614,1.0837,1.04,1.08
28.00,61,P,14,0.038100,-0.7314,1.0789,9.80,9.90
29.00,61,C,18340,0.035900,0.2462,1.1127,0.98,1.03
29.00,61,P,573,0.035900,-0.7467,1.1148,10.75,10.85
30.00,61,C,186539,0.034000,0.2326,1.1545,0.93,0.98
30.00,61,P,1867,0.034000,-0.7602,1.1364,11.70,11.80
31.00,61,C,13068,0.032200,0.2205,1.1805,0.88,0.93
31.00,61,P,21,0.032200,-0.7724,1.1649,12.65,12.75
32.00,61,C,2397,0.030600,0.2094,1.1920,0.84,0.90
33.00,61,C,24250,0.029100,0.1994,1.2158,0.81,0.86
33.00,61,P,2,0.029100,-0.7935,1.2128,14.55,14.65
34.00,61,C,3930,0.027700,0.1903,1.2370,0.77,0.83
34.00,61,P,3,0.027700,-0.8026,1.2444,15.50,15.60
35.00,61,C,329463,0.026500,0.1818,1.2606,0.74,0.79
35.00,61,P,81,0.026500,-0.8111,1.2618,16.45,16.60
36.00,61,C,4746,0.025300,0.1740,1.2845,0.71,0.77
36.00,61,P,40,0.025300,-0.8189,1.2894,17.45,17.55
37.00,61,C,21960,0.024300,0.1668,1.3066,0.69,0.74
37.00,61,P,1,0.024300,-0.8261,1.3154,18.40,18.50
38.00,61,C,565,0.023300,0.1601,1.3243,0.66,0.71
39.00,61,C,4979,0.022400,0.1539,1.3456,0.64,0.69
39.00,61,P,404,0.022400,-0.8390,1.3489,20.35,20.45
40.00,61,C,75262,0.021500,0.1480,1.3654,0.62,0.67
40.00,61,P,260,0.021500,-0.8449,1.3699,21.30,21.40
42.50,61,C,9570,0.019600,0.1349,1.3847,0.56,0.61
45.00,61,C,27429,0.018000,0.1237,1.4413,0.52,0.56
45.00,61,P,198,0.018000,-0.8692,1.4404,26.15,26.30
47.50,61,C,1409,0.016600,0.1139,1.4760,0.48,0.52
47.50,61,P,1,0.016600,-0.8790,1.4803,28.60,28.70
50.00,61,C,236787,0.015300,0.1053,1.5188,0.42,0.48
50.00,61,P,1,0.015300,-0.8876,1.5146,31.05,31.15
55.00,61,C,71278,0.013300,0.0909,1.5648,0.37,0.41
55.00,61,P,387,0.013300,-0.9020,1.5684,35.95,36.05
60.00,61,C,136342,0.011600,0.0794,1.6082,0.33,0.35
60.00,61,P,36,0.011600,-0.9135,1.6038,40.85,41.00
65.00,61,C,70769,0.010300,0.0700,1.6458,0.28,0.31
65.00,61,P,2,0.010300,-0.9228,1.6464,45.80,45.90
70.00,61,C,85496,0.009200,0.0623,1.6813,0.24,0.28
70.00,61,P,136,0.009200,-0.9306,1.6770,50.70,50.85
75.00,61,C,17726,0.008300,0.0557,1.7122,0.22,0.25
80.00,61,C,62215,0.007500,0.0501,1.7406,0.18,0.22
80.00,61,P,62,0.007500,-0.9428,1.7683,60.60,60.70
85.00,61,C,33571,0.006800,0.0454,1.7611,0.16,0.20
90.00,61,C,34490,0.006200,0.0412,1.7970,0.16,0.19
95.00,61,C,47229,0.005700,0.0376,1.8126,0.13,0.18
100.00,61,C,52445,0.005200,0.0344,1.8306,0.13,0.16
100.00,61,P,13,0.005200,-0.9585,1.8871,80.40,80.50
110.00,61,C,1524,0.004500,0.0292,1.8513,0.10,0.14
110.00,61,P,2,0.004500,-0.9638,1.9198,90.35,90.45
120.00,61,C,569,0.003800,0.0250,1.9111,0.09,0.13
120.00,61,P,136,0.003800,-0.9680,1.9848,100.25,100.35
130.00,61,C,4094,0.003400,0.0216,1.9387,0.07,0.11
140.00,61,C,3512,0.002900,0.0188,1.9696,0.06,0.10
140.00,61,P,223,0.002900,-0.9741,2.0949,120.05,120.20
150.00,61,C,7362,0.002600,0.0165,1.9926,0.05,0.08
150.00,61,P,1,0.002600,-0.9764,2.0859,130.00,130.10
160.00,61,C,1561,0.002300,0.0145,2.0417,0.04,0.07
170.00,61,C,1539,0.002100,0.0129,2.0339,0.02,0.06
180.00,61,C,373,0.001800,0.0115,2.0557,0.01,0.06
190.00,61,C,122,0.001700,0.0103,2.0951,0.01,0.05
200.00,61,C,6099,0.001500,0.0093,2.1098,0.01,0.04
200.00,61,P,5,0.001500,-0.9836,1.8258,179.45,179.90
10.00,89,C,222,0.001400,0.9872,0.6673,9.70,9.90
10.00,89,P,351,0.001400,-0.0022,0.5773,0.00,0.01
10.50,89,P,202,0.002000,-0.0034,0.5394,0.00,0.01
11.00,89,C,121,0.003000,0.9843,0.5475,8.65,8.95
11.00,89,P,410,0.003000,-0.0050,0.7520,0.00,0.01
11.50,89,P,3,0.004400,-0.0075,0.9174,0.00,0.04
12.00,89,C,16,0.006400,0.9780,0.4273,7.75,7.90
12.00,89,P,671,0.006400,-0.0113,0.4770,0.01,0.04
12.50,89,C,7,0.009400,0.9714,0.0000,7.30,7.40
12.50,89,P,50,0.009400,-0.0180,0.5510,0.02,0.06
13.00,89,C,372,0.013600,0.9612,0.4703,6.80,6.95
13.00,89,P,1346,0.013600,-0.0282,0.5786,0.04,0.06
13.50,89,C,14,0.018600,0.9477,0.4933,6.35,6.45
13.50,89,P,751,0.018600,-0.0417,0.7946,0.07,0.11
14.00,89,C,987,0.024100,0.9312,0.0000,5.90,6.00
14.00,89,P,3837,0.024100,-0.0582,0.4814,0.11,0.14
14.50,89,C,323,0.030300,0.9086,0.0000,5.45,5.60
14.50,89,P,23585,0.030300,-0.0808,0.5031,0.18,0.22
15.00,89,C,3221,0.036600,0.8790,0.6317,5.10,5.20
15.00,89,P,113650,0.036600,-0.1103,0.5228,0.28,0.32
16.00,89,C,1931,0.046800,0.8120,0.0000,4.40,4.50
16.00,89,P,40676,0.046800,-0.1773,0.5591,0.57,0.62
17.00,89,C,2026,0.052900,0.7412,0.6074,3.80,3.90
17.00,89,P,56534,0.052900,-0.2482,0.6040,0.99,1.05
18.00,89,C,8130,0.055200,0.6736,0.6498,3.35,3.45
18.00,89,P,22524,0.055200,-0.3158,0.6484,1.53,1.59
19.00,89,C,4025,0.055400,0.6130,0.6890,3.00,3.10
